lead_id,activity_type,activity_at,activity_status
lead_00038,first_touch,2026-04-06T11:53:02.125033551,completed
lead_00039,first_touch,2026-04-07T02:07:57.860353072,completed
lead_00040,first_touch,2026-04-06T18:03:17.061819260,completed
lead_00041,first_touch,2026-04-07T03:25:37.899791900,completed
lead_00042,first_touch,2026-04-06T10:16:30.388547178,completed
lead_00043,first_touch,2026-04-06T13:05:12.404161011,completed
lead_00044,first_touch,2026-04-06T20:59:34.707621294,completed
lead_00045,first_touch,2026-04-06T10:55:54.940871224,completed
lead_00046,first_touch,2026-04-06T11:45:52.450457042,completed
lead_00047,first_touch,2026-04-07T12:02:27.737095427,completed
lead_00048,first_touch,2026-04-06T12:29:18.820203899,completed
lead_00049,first_touch,2026-04-06T07:24:09.597980095,completed
lead_00050,first_touch,2026-04-06T02:39:49.911129449,completed
lead_00051,first_touch,2026-04-06T08:43:21.433024735,completed
lead_00052,first_touch,2026-04-07T18:25:27.154171528,completed
lead_00053,first_touch,2026-04-07T15:10:48.495094740,completed
lead_00054,first_touch,2026-04-07T01:31:13.400445478,completed
lead_00055,first_touch,2026-04-08T03:09:10.484358923,completed
lead_00056,first_touch,2026-04-07T10:32:05.451715120,completed
lead_00057,first_touch,2026-04-07T02:50:16.928261346,completed
lead_00058,first_touch,2026-04-07T17:36:39.131919587,completed
lead_00059,first_touch,2026-04-08T09:12:17.755977952,completed
lead_00060,first_touch,2026-04-07T14:35:34.216558956,completed
lead_00061,first_touch,2026-04-07T16:42:56.482251936,completed
lead_00062,first_touch,2026-04-07T11:00:34.483397845,completed
lead_00063,first_touch,2026-04-07T23:42:56.251390084,completed
lead_00064,first_touch,2026-04-07T06:01:55.716788046,completed
lead_00065,first_touch,2026-04-07T07:08:10.626835672,completed
lead_00066,first_touch,2026-04-07T06:37:48.588982232,completed
lead_00067,first_touch,2026-04-07T03:48:41.969015105,completed
lead_00068,first_touch,2026-04-07T14:15:42.095819252,completed
lead_00069,first_touch,2026-04-07T12:27:20.050031730,completed
lead_00070,first_touch,2026-04-07T13:09:28.211211735,completed
lead_00071,first_touch,2026-04-07T10:54:35.602243670,completed
lead_00072,first_touch,2026-04-07T06:32:16.092683054,completed
lead_00073,first_touch,2026-04-07T14:23:57.034517676,completed
lead_00074,first_touch,2026-04-08T01:26:14.778137573,completed
lead_00075,first_touch,2026-04-08T13:50:47.505574566,completed
lead_00076,first_touch,2026-04-08T03:01:20.008805731,completed
lead_00077,first_touch,2026-04-08T15:53:03.617388392,completed
lead_00078,first_touch,2026-04-08T07:59:19.243260226,completed
lead_00079,first_touch,2026-04-08T02:14:36.609725503,completed
lead_00080,first_touch,2026-04-10T09:03:06.122669823,completed
lead_00081,first_touch,2026-04-08T03:43:52.108422112,completed
lead_00082,first_touch,2026-04-08T06:39:18.504103428,completed
lead_00083,first_touch,2026-04-08T02:57:27.543024073,completed
lead_00084,first_touch,2026-04-08T14:46:40.205798250,completed
lead_00085,first_touch,2026-04-08T06:30:16.245752991,completed
lead_00086,first_touch,2026-04-08T07:17:51.636463323,completed
lead_00087,first_touch,2026-04-08T05:42:52.246572616,completed
lead_00088,first_touch,2026-04-08T06:39:51.312711455,completed
lead_00089,first_touch,2026-04-09T12:17:28.677295151,completed
lead_00090,first_touch,2026-04-08T16:49:03.221129236,completed
lead_00091,first_touch,2026-04-10T07:26:50.354781961,completed
lead_00092,first_touch,2026-04-08T23:09:40.353019145,completed
lead_00093,first_touch,2026-04-08T09:30:38.381790593,completed
lead_00094,first_touch,2026-04-08T11:43:23.230077015,completed
lead_00095,first_touch,2026-04-09T00:38:08.410415501,completed
lead_00096,first_touch,,not_assigned
lead_00097,first_touch,2026-04-09T12:56:47.280297897,completed
lead_00098,first_touch,2026-04-09T15:49:58.575344014,completed
lead_00099,first_touch,2026-04-09T22:22:52.437492559,completed
lead_00100,first_touch,2026-04-09T10:26:53.510719377,completed
lead_00101,first_touch,2026-04-09T19:19:16.068649039,completed
lead_00102,first_touch,2026-04-09T14:20:42.044888095,completed
lead_00103,first_touch,2026-04-09T16:57:42.194962566,completed
lead_00104,first_touch,2026-04-09T08:42:01.915021169,completed
lead_00105,first_touch,2026-04-09T14:33:24.120049705,completed
lead_00106,first_touch,2026-04-09T10:48:50.210654998,completed
lead_00107,first_touch,2026-04-09T05:04:07.940056305,completed
lead_00108,first_touch,2026-04-10T11:54:07.544156495,completed
lead_00109,first_touch,2026-04-09T07:56:26.651006566,completed
lead_00110,first_touch,2026-04-09T15:02:37.358285528,completed
lead_00111,first_touch,2026-04-09T14:57:39.427299131,completed
lead_00112,first_touch,2026-04-09T05:00:35.668994121,completed
lead_00113,first_touch,2026-04-09T10:55:27.742141799,completed
lead_00114,first_touch,2026-04-09T12:02:33.268539514,completed
lead_00115,first_touch,2026-04-10T07:21:03.892728608,completed
lead_00116,first_touch,2026-04-09T04:22:48.124028125,completed
lead_00117,first_touch,2026-04-09T15:23:01.243738554,completed
lead_00118,first_touch,2026-04-10T08:50:39.678077491,completed
lead_00119,first_touch,2026-04-10T14:38:09.904412136,completed
lead_00120,first_touch,2026-04-11T05:42:51.894093019,completed
lead_00121,first_touch,2026-04-10T18:59:36.998377960,completed
lead_00122,first_touch,2026-04-10T16:32:06.037218861,completed
lead_00123,first_touch,2026-04-10T09:39:06.820393087,completed
lead_00124,first_touch,2026-04-10T13:50:46.177173968,completed
lead_00125,first_touch,2026-04-10T00:37:07.591842528,completed
lead_00126,first_touch,2026-04-10T14:26:05.270668864,completed
lead_00127,first_touch,2026-04-10T15:22:07.493660222,completed
lead_00128,first_touch,2026-04-10T16:46:58.180402635,completed
lead_00129,first_touch,2026-04-11T02:42:23.052483462,completed
lead_00130,first_touch,2026-04-10T14:21:50.399140484,completed
lead_00131,first_touch,2026-04-10T07:52:28.379465339,completed
lead_00132,first_touch,2026-04-10T03:19:19.684241674,completed
lead_00133,first_touch,2026-04-10T08:03:09.081301554,completed
lead_00134,first_touch,2026-04-10T08:52:47.400867637,completed
lead_00135,first_touch,2026-04-10T04:32:31.809780448,completed
lead_00136,first_touch,2026-04-10T06:20:28.462028187,completed
lead_00137,first_touch,2026-04-10T02:11:28.368475535,completed
lead_00138,first_touch,2026-04-10T13:45:48.353577327,completed
lead_00139,first_touch,2026-04-11T21:08:15.018883537,completed
lead_00140,first_touch,2026-04-12T00:21:22.016292869,completed
lead_00141,first_touch,2026-04-11T00:54:46.526759596,completed
lead_00142,first_touch,2026-04-12T13:53:32.414060166,completed
lead_00143,first_touch,2026-04-11T20:06:53.954935145,completed
lead_00144,first_touch,2026-04-11T03:07:44.902443587,completed
lead_00145,first_touch,2026-04-12T12:41:38.531246865,completed
lead_00146,first_touch,2026-04-11T11:16:43.341404513,completed
lead_00147,first_touch,2026-04-11T03:19:24.019130752,completed
lead_00148,first_touch,2026-04-11T15:01:18.221794404,completed
lead_00149,first_touch,2026-04-11T03:29:28.086250273,completed
lead_00150,first_touch,2026-04-11T08:06:24.247633676,completed
lead_00151,first_touch,2026-04-11T20:37:18.523347343,completed
lead_00152,first_touch,2026-04-11T07:40:53.483230899,completed
lead_00153,first_touch,2026-04-11T02:39:34.295276022,completed
lead_00154,first_touch,2026-04-11T23:25:14.704649493,completed
lead_00155,first_touch,2026-04-13T17:42:52.967602792,completed
lead_00156,first_touch,2026-04-12T05:56:43.321599606,completed
lead_00157,first_touch,2026-04-12T21:07:02.085588389,completed
lead_00158,first_touch,2026-04-11T03:54:44.040221150,completed
lead_00159,first_touch,2026-04-11T13:55:38.319604579,completed
lead_00160,first_touch,2026-04-13T09:54:28.637896055,completed
lead_00161,first_touch,2026-04-12T21:24:07.988714498,completed
lead_00162,first_touch,2026-04-12T04:23:29.307995100,completed
lead_00163,first_touch,2026-04-12T16:26:57.669999366,completed
lead_00164,first_touch,2026-04-12T09:16:38.438331533,completed
lead_00165,first_touch,2026-04-12T17:22:47.960726471,completed
lead_00166,first_touch,2026-04-12T08:14:56.455695675,completed
lead_00167,first_touch,2026-04-13T09:47:07.441150958,completed
lead_00168,first_touch,2026-04-12T10:37:17.038383415,completed
lead_00169,first_touch,2026-04-12T20:58:56.075322653,completed
lead_00170,first_touch,2026-04-12T20:03:59.400427151,completed
lead_00171,first_touch,2026-04-12T12:53:47.294252919,completed
lead_00172,first_touch,2026-04-12T17:09:36.132298295,completed
lead_00173,first_touch,2026-04-13T00:14:24.093530647,completed
lead_00174,first_touch,2026-04-13T05:56:58.788600450,completed
lead_00175,first_touch,2026-04-12T04:48:09.489172563,completed
lead_00176,first_touch,2026-04-12T15:08:43.298125741,completed
lead_00177,first_touch,2026-04-12T20:20:46.666984352,completed
lead_00178,first_touch,2026-04-12T03:39:54.023426784,completed
lead_00179,first_touch,2026-04-13T17:36:43.250080746,completed
lead_00180,first_touch,2026-04-12T10:36:12.867326439,completed
lead_00181,first_touch,2026-04-12T04:12:49.244354329,completed
lead_00182,first_touch,2026-04-12T05:29:59.868375375,completed
lead_00183,first_touch,2026-04-13T09:13:00.012224662,completed
lead_00184,first_touch,2026-04-13T02:39:58.071636256,completed
lead_00185,first_touch,2026-04-13T02:01:26.355666898,completed
lead_00186,first_touch,2026-04-13T09:07:16.277239138,completed
lead_00187,first_touch,2026-04-13T03:54:54.119477818,completed
lead_00188,first_touch,2026-04-13T14:17:07.519675990,completed
lead_00189,first_touch,2026-04-13T12:49:09.247401801,completed
lead_00190,first_touch,2026-04-13T22:31:10.330315570,completed
lead_00191,first_touch,2026-04-13T12:43:36.550188996,completed
lead_00192,first_touch,2026-04-13T03:32:53.565203708,completed
lead_00193,first_touch,2026-04-13T05:49:37.361302969,completed
lead_00194,first_touch,2026-04-13T23:46:08.978216523,completed
lead_00195,first_touch,2026-04-13T21:09:48.966924393,completed
lead_00196,first_touch,2026-04-13T16:23:50.302159074,completed
lead_00197,first_touch,2026-04-13T06:25:19.535016124,completed
lead_00198,first_touch,2026-04-13T05:37:01.827298204,completed
lead_00199,first_touch,2026-04-14T07:59:05.753167333,completed
lead_00200,first_touch,2026-04-13T14:56:32.688273252,completed
lead_00201,first_touch,2026-04-13T19:30:28.007729755,completed
lead_00202,first_touch,2026-04-13T05:44:02.539057942,completed
lead_00203,first_touch,2026-04-13T06:46:30.269008661,completed
lead_00204,first_touch,2026-04-14T19:40:37.042356794,completed
lead_00205,first_touch,2026-04-14T06:23:41.206704712,completed
lead_00206,first_touch,2026-04-15T20:45:07.508101384,completed
lead_00207,first_touch,2026-04-14T15:00:34.472628699,completed
lead_00208,first_touch,2026-04-14T07:36:36.801108996,completed
lead_00209,first_touch,2026-04-15T18:29:18.653876631,completed
lead_00210,first_touch,2026-04-14T09:24:10.424904922,completed
lead_00211,first_touch,2026-04-15T01:02:19.922838463,completed
lead_00212,first_touch,,not_assigned
lead_00213,first_touch,2026-04-14T18:00:45.407956107,completed
lead_00214,first_touch,2026-04-14T06:27:42.505327914,completed
lead_00215,first_touch,2026-04-15T04:37:35.563370185,completed
lead_00216,first_touch,2026-04-14T05:33:40.557743163,completed
lead_00217,first_touch,2026-04-14T06:59:00.454377451,completed
lead_00218,first_touch,2026-04-14T23:50:55.549130912,completed
lead_00219,first_touch,2026-04-14T07:38:43.907394547,completed
lead_00220,first_touch,2026-04-14T14:16:21.204500555,completed
lead_00221,first_touch,2026-04-14T05:19:51.568005541,completed
lead_00222,first_touch,2026-04-14T06:56:09.267463555,completed
lead_00223,first_touch,2026-04-15T00:37:30.176269639,completed
lead_00224,first_touch,2026-04-14T09:40:08.801520641,completed
lead_00225,first_touch,2026-04-14T05:28:22.352373848,completed
lead_00226,first_touch,2026-04-14T18:34:39.434485740,completed
lead_00227,first_touch,2026-04-14T07:40:34.262562189,completed
lead_00228,first_touch,2026-04-15T06:10:12.715032609,completed
lead_00229,first_touch,2026-04-15T12:38:36.466911748,completed
lead_00230,first_touch,2026-04-15T16:49:14.645713750,completed
lead_00231,first_touch,2026-04-15T06:39:18.702503198,completed
lead_00232,first_touch,2026-04-15T20:33:30.337598919,completed
lead_00233,first_touch,2026-04-15T03:20:24.510065472,completed
lead_00234,first_touch,2026-04-15T12:45:49.955960302,completed
lead_00235,first_touch,2026-04-15T16:21:12.693468657,completed
lead_00236,first_touch,2026-04-15T14:52:13.101262083,completed
lead_00237,first_touch,2026-04-15T11:04:29.037178287,completed
lead_00238,first_touch,2026-04-15T09:08:42.338847485,completed
lead_00239,first_touch,2026-04-15T13:42:07.110869737,completed
lead_00240,first_touch,2026-04-15T07:02:08.558914111,completed
lead_00241,first_touch,2026-04-15T07:49:59.676754590,completed
lead_00242,first_touch,2026-04-16T07:16:56.070010215,completed
lead_00243,first_touch,2026-04-15T09:25:55.828045002,completed
lead_00244,first_touch,2026-04-15T13:15:23.650696958,completed
lead_00245,first_touch,2026-04-15T11:57:00.988935246,completed
lead_00246,first_touch,2026-04-15T07:26:28.130438966,completed
lead_00247,first_touch,2026-04-16T00:31:57.481689081,completed
lead_00248,first_touch,2026-04-15T04:19:39.474006520,completed
lead_00249,first_touch,2026-04-15T08:33:44.452855293,completed
lead_00250,first_touch,2026-04-16T18:17:51.337110247,completed
lead_00251,first_touch,2026-04-15T05:46:33.417905701,completed
lead_00252,first_touch,2026-04-15T10:19:21.631543149,completed
lead_00253,first_touch,2026-04-15T09:49:34.875934439,completed
lead_00254,first_touch,2026-04-15T11:22:59.804751292,completed
lead_00255,first_touch,2026-04-15T09:35:19.234123208,completed
lead_00256,first_touch,2026-04-17T06:32:34.899594341,completed
lead_00257,first_touch,2026-04-16T13:07:25.994834508,completed
lead_00258,first_touch,2026-04-16T15:26:52.839371067,completed
lead_00259,first_touch,2026-04-16T06:04:57.827586061,completed
lead_00260,first_touch,2026-04-16T14:03:30.086900652,completed
lead_00261,first_touch,2026-04-17T05:51:20.210796477,completed
lead_00262,first_touch,2026-04-16T01:10:31.889062892,completed
lead_00263,first_touch,2026-04-16T05:52:16.948175776,completed
lead_00264,first_touch,2026-04-18T15:18:59.167263727,completed
lead_00265,first_touch,2026-04-16T08:24:04.296053999,completed
lead_00266,first_touch,2026-04-16T12:23:44.390031112,completed
lead_00267,first_touch,2026-04-16T06:03:09.887344912,completed
lead_00268,first_touch,2026-04-16T14:34:28.906246638,completed
lead_00269,first_touch,2026-04-16T14:35:47.572342134,completed
lead_00270,first_touch,2026-04-16T19:04:30.152758409,completed
lead_00271,first_touch,2026-04-16T13:53:40.864546681,completed
lead_00272,first_touch,2026-04-17T20:05:29.320288219,completed
lead_00273,first_touch,2026-04-16T10:03:29.199772526,completed
lead_00274,first_touch,2026-04-16T14:51:30.701287963,completed
lead_00275,first_touch,2026-04-16T04:27:56.719150815,completed
lead_00276,first_touch,2026-04-16T04:32:29.036680071,completed
lead_00277,first_touch,2026-04-16T01:46:11.941684205,completed
lead_00278,first_touch,2026-04-16T10:49:49.218006642,completed
lead_00279,first_touch,2026-04-17T03:49:19.672307578,completed
lead_00280,first_touch,2026-04-17T16:12:49.103724937,completed
lead_00281,first_touch,2026-04-17T16:49:53.722054539,completed
lead_00282,first_touch,2026-04-17T08:23:51.569970827,completed
lead_00283,first_touch,2026-04-17T09:02:05.717272567,completed
lead_00284,first_touch,2026-04-17T08:19:14.224029135,completed
lead_00285,first_touch,2026-04-18T03:58:08.611346889,completed
lead_00286,first_touch,2026-04-17T08:10:35.874570332,completed
lead_00287,first_touch,2026-04-17T03:43:42.336605290,completed
lead_00288,first_touch,2026-04-17T06:51:23.659137330,completed
lead_00289,first_touch,2026-04-17T04:26:43.834170730,completed
lead_00290,first_touch,2026-04-18T14:51:55.685298833,completed
lead_00291,first_touch,2026-04-17T17:48:06.049201819,completed
lead_00292,first_touch,2026-04-17T21:10:50.725685086,completed
lead_00293,first_touch,2026-04-17T21:41:42.148958865,completed
lead_00294,first_touch,2026-04-17T05:49:21.487242329,completed
lead_00295,first_touch,,not_assigned
lead_00296,first_touch,2026-04-17T13:56:10.164674301,completed
lead_00297,first_touch,2026-04-17T02:26:30.002818836,completed
lead_00298,first_touch,2026-04-17T03:27:07.656615034,completed
lead_00299,first_touch,2026-04-17T19:35:45.471770963,completed
lead_00300,first_touch,2026-04-17T18:13:36.585447394,completed
lead_00301,first_touch,2026-04-18T05:35:37.571442380,completed
lead_00302,first_touch,2026-04-18T10:51:36.173507226,completed
lead_00303,first_touch,2026-04-18T19:15:20.020283258,completed
lead_00304,first_touch,2026-04-18T11:05:32.714436889,completed
lead_00305,first_touch,2026-04-18T04:17:43.574288163,completed
lead_00306,first_touch,2026-04-18T05:14:37.695653836,completed
lead_00307,first_touch,2026-04-18T01:33:42.364640869,completed
lead_00308,first_touch,2026-04-18T16:45:11.486594591,completed
lead_00309,first_touch,2026-04-18T03:40:29.633319225,completed
lead_00310,first_touch,2026-04-18T01:39:58.019321613,completed
lead_00311,first_touch,2026-04-19T01:17:19.580903307,completed
lead_00312,first_touch,2026-04-18T02:42:43.167412536,completed
lead_00313,first_touch,2026-04-18T20:16:12.411771561,completed
lead_00314,first_touch,2026-04-19T05:49:24.312156850,completed
lead_00315,first_touch,2026-04-18T11:45:18.621603624,completed
lead_00316,first_touch,2026-04-18T04:14:47.866151891,completed
lead_00317,first_touch,2026-04-18T13:00:34.090447817,completed
lead_00318,first_touch,2026-04-18T10:21:05.845052880,completed
lead_00319,first_touch,2026-04-18T16:46:23.294073286,completed
lead_00320,first_touch,2026-04-18T10:47:09.591143405,completed
lead_00321,first_touch,2026-04-18T06:45:19.825685598,completed
lead_00322,first_touch,2026-04-19T03:40:46.494120571,completed
lead_00323,first_touch,2026-04-20T07:01:17.601724435,completed
lead_00324,first_touch,2026-04-19T17:32:40.645242836,completed
lead_00325,first_touch,2026-04-19T09:16:04.717820223,completed
lead_00326,first_touch,2026-04-19T11:10:26.935335504,completed
lead_00327,first_touch,2026-04-19T12:28:02.382456047,completed
lead_00328,first_touch,2026-04-20T15:42:37.643573146,completed
lead_00329,first_touch,2026-04-19T15:00:25.990549950,completed
lead_00330,first_touch,2026-04-19T07:35:04.130540800,completed
lead_00331,first_touch,2026-04-19T06:56:33.513954460,completed
lead_00332,first_touch,2026-04-19T23:19:25.649231942,completed
lead_00333,first_touch,2026-04-19T03:57:55.722039076,completed
lead_00334,first_touch,2026-04-19T01:36:05.666935707,completed
lead_00335,first_touch,2026-04-19T06:33:54.633707720,completed
lead_00336,first_touch,2026-04-19T09:09:12.756552638,completed
lead_00337,first_touch,2026-04-19T15:13:28.385169829,completed
lead_00338,first_touch,2026-04-19T19:23:52.170128233,completed
lead_00339,first_touch,2026-04-19T17:28:57.875377681,completed
lead_00340,first_touch,2026-04-19T13:24:40.511639084,completed
lead_00341,first_touch,2026-04-19T01:40:08.512621494,completed
lead_00342,first_touch,2026-04-19T20:47:05.718045750,completed
lead_00343,first_touch,2026-04-20T02:54:34.390078555,completed
lead_00344,first_touch,2026-04-20T14:56:37.400710200,completed
lead_00345,first_touch,2026-04-20T16:04:55.762231398,completed
lead_00346,first_touch,2026-04-20T02:15:27.811552744,completed
lead_00347,first_touch,2026-04-21T11:15:19.271834952,completed
lead_00348,first_touch,2026-04-20T14:26:50.723861690,completed
lead_00349,first_touch,2026-04-20T08:03:44.366512405,completed
lead_00350,first_touch,,not_assigned
lead_00351,first_touch,2026-04-20T13:56:29.650848946,completed
lead_00352,first_touch,2026-04-21T14:16:35.694181337,completed
lead_00353,first_touch,2026-04-20T10:43:18.942709992,completed
lead_00354,first_touch,2026-04-20T07:37:24.974173613,completed
lead_00355,first_touch,2026-04-20T17:39:35.338438985,completed
lead_00356,first_touch,2026-04-20T15:58:31.504987216,completed
lead_00357,first_touch,2026-04-20T09:43:17.826267571,completed
lead_00358,first_touch,2026-04-21T06:14:01.970585708,completed
lead_00359,first_touch,2026-04-20T19:31:40.329350897,completed
lead_00360,first_touch,2026-04-20T03:20:36.601807727,completed
lead_00361,first_touch,2026-04-21T11:14:09.842631177,completed
lead_00362,first_touch,2026-04-21T12:30:58.772825918,completed
lead_00363,first_touch,2026-04-20T14:03:17.630201560,completed
lead_00364,first_touch,2026-04-21T07:46:13.524390219,completed
lead_00365,first_touch,2026-04-20T23:52:27.238107877,completed
lead_00366,first_touch,2026-04-20T08:54:57.340349145,completed
lead_00367,first_touch,2026-04-20T18:46:12.642892875,completed
lead_00368,first_touch,2026-04-21T04:18:15.934967698,completed
lead_00369,first_touch,2026-04-21T13:15:48.949781284,completed
lead_00370,first_touch,2026-04-21T18:09:56.638764601,completed
lead_00371,first_touch,2026-04-21T10:39:20.386645917,completed
lead_00372,first_touch,2026-04-22T04:29:25.555652935,completed
lead_00373,first_touch,2026-04-22T14:55:08.444646072,completed
lead_00374,first_touch,2026-04-22T01:50:09.049976409,completed
lead_00375,first_touch,2026-04-21T11:51:26.801069358,completed
lead_00376,first_touch,2026-04-21T11:14:48.150604059,completed
lead_00377,first_touch,2026-04-22T03:06:32.233366148,completed
lead_00378,first_touch,2026-04-21T07:45:16.381056608,completed
lead_00379,first_touch,2026-04-21T14:36:04.876721807,completed
lead_00380,first_touch,2026-04-21T23:07:04.576370362,completed
lead_00381,first_touch,2026-04-21T05:04:13.230202258,completed
lead_00382,first_touch,2026-04-21T02:50:24.888528528,completed
lead_00383,first_touch,2026-04-21T20:46:02.621690517,completed
lead_00384,first_touch,2026-04-21T10:12:21.046572290,completed
lead_00385,first_touch,2026-04-21T03:22:54.095382940,completed
lead_00386,first_touch,2026-04-22T10:07:07.176228210,completed
lead_00387,first_touch,2026-04-23T12:39:12.672429041,completed
lead_00388,first_touch,2026-04-21T03:12:10.151975809,completed
lead_00389,first_touch,2026-04-21T21:46:18.137103812,completed
lead_00390,first_touch,2026-04-23T22:26:13.468551573,completed
lead_00391,first_touch,2026-04-22T13:36:27.945857732,completed
lead_00392,first_touch,2026-04-22T21:44:24.947754178,completed
lead_00393,first_touch,2026-04-22T06:47:05.120333873,completed
lead_00394,first_touch,2026-04-22T03:46:02.922361544,completed
lead_00395,first_touch,2026-04-22T14:59:36.109193312,completed
lead_00396,first_touch,2026-04-22T01:21:15.282285344,completed
lead_00397,first_touch,2026-04-22T06:07:36.112363162,completed
lead_00398,first_touch,2026-04-22T06:00:00.942554942,completed
lead_00399,first_touch,2026-04-22T13:14:00.876157723,completed
lead_00400,first_touch,2026-04-22T03:06:43.277912674,completed
lead_00401,first_touch,2026-04-22T14:36:36.324273946,completed
lead_00402,first_touch,2026-04-22T11:51:02.230126332,completed
lead_00403,first_touch,2026-04-22T06:34:02.873805918,completed
lead_00404,first_touch,2026-04-22T16:27:48.792626620,completed
lead_00405,first_touch,2026-04-22T11:24:23.816287691,completed
lead_00406,first_touch,2026-04-22T21:49:39.506593353,completed
lead_00407,first_touch,2026-04-22T17:42:50.918641491,completed
lead_00408,first_touch,,not_assigned
lead_00409,first_touch,2026-04-22T05:17:37.744589514,completed
lead_00410,first_touch,2026-04-23T02:15:38.207905422,completed
lead_00411,first_touch,2026-04-24T06:43:06.976430596,completed
lead_00412,first_touch,2026-04-22T03:55:31.255591188,completed
lead_00413,first_touch,2026-04-22T03:21:30.350990406,completed
lead_00414,first_touch,2026-04-23T06:22:37.950034869,completed
lead_00415,first_touch,2026-04-23T14:08:38.514878684,completed
lead_00416,first_touch,2026-04-23T06:41:08.231263631,completed
lead_00417,first_touch,2026-04-23T00:59:20.184224131,completed
lead_00418,first_touch,2026-04-23T10:39:11.244513184,completed
lead_00419,first_touch,2026-04-24T13:46:27.921947313,completed
lead_00420,first_touch,2026-04-23T03:39:21.211552011,completed
lead_00421,first_touch,2026-04-23T10:05:36.914402773,completed
lead_00422,first_touch,2026-04-23T05:43:34.064907120,completed
lead_00423,first_touch,2026-04-23T09:03:08.086856807,completed
lead_00424,first_touch,2026-04-23T18:54:58.940433274,completed
lead_00425,first_touch,2026-04-23T16:56:06.865348375,completed
lead_00426,first_touch,2026-04-23T22:01:05.266126603,completed
lead_00427,first_touch,2026-04-23T03:19:32.214587166,completed
lead_00428,first_touch,2026-04-23T21:24:51.133845891,completed
lead_00429,first_touch,2026-04-23T05:55:02.139894778,completed
lead_00430,first_touch,2026-04-23T13:00:11.901401522,completed
lead_00431,first_touch,2026-04-23T10:18:32.386155954,completed
lead_00432,first_touch,2026-04-23T09:28:34.585186378,completed
lead_00433,first_touch,2026-04-23T16:49:02.042163048,completed
lead_00434,first_touch,2026-04-23T20:55:29.981874322,completed
lead_00435,first_touch,2026-04-24T09:22:32.892502644,completed
lead_00436,first_touch,2026-04-24T13:03:51.584767300,completed
lead_00437,first_touch,2026-04-25T13:38:06.931123125,completed
lead_00438,first_touch,2026-04-24T03:30:48.721080489,completed
lead_00439,first_touch,2026-04-24T03:45:03.523761684,completed
lead_00440,first_touch,2026-04-25T11:35:01.617857325,completed
lead_00441,first_touch,2026-04-25T13:03:44.563793034,completed
lead_00442,first_touch,2026-04-24T08:55:17.963426335,completed
lead_00443,first_touch,2026-04-24T08:01:36.718177932,completed
lead_00444,first_touch,2026-04-24T17:10:29.729029099,completed
lead_00445,first_touch,2026-04-24T04:02:43.694566958,completed
lead_00446,first_touch,2026-04-24T10:01:55.491563262,completed
lead_00447,first_touch,2026-04-24T10:59:33.116290356,completed
lead_00448,first_touch,2026-04-24T16:06:40.948421972,completed
lead_00449,first_touch,2026-04-24T13:21:09.677879018,completed
lead_00450,first_touch,2026-04-24T07:50:43.827346040,completed
lead_00451,first_touch,2026-04-24T07:13:23.620859662,completed
lead_00452,first_touch,2026-04-24T07:10:38.620529620,completed
