account_id,account_name,segment,industry,employee_count,potential_arr
acct_00067,Conta 00067,smb,software,72,71535.17
acct_00068,Conta 00068,smb,healthcare,158,40959.07
acct_00069,Conta 00069,enterprise,retail,3679,79217.08
acct_00070,Conta 00070,enterprise,healthcare,2790,87450.19
acct_00071,Conta 00071,smb,healthcare,178,24537.31
acct_00072,Conta 00072,smb,retail,100,54366.74
acct_00073,Conta 00073,smb,financial_services,103,23816.34
acct_00074,Conta 00074,mid_market,retail,662,93457.99
acct_00075,Conta 00075,mid_market,financial_services,603,45432.3
acct_00076,Conta 00076,enterprise,manufacturing,3171,87727.75
acct_00077,Conta 00077,smb,retail,76,30247.51
acct_00078,Conta 00078,smb,healthcare,123,45417.18
acct_00079,Conta 00079,mid_market,retail,804,31185.74
acct_00080,Conta 00080,mid_market,software,888,46238.07
acct_00081,Conta 00081,mid_market,education,889,39375.08
acct_00082,Conta 00082,enterprise,manufacturing,3787,64940.05
acct_00083,Conta 00083,mid_market,education,666,51684.62
acct_00084,Conta 00084,mid_market,education,349,59848.76
acct_00085,Conta 00085,enterprise,healthcare,2345,30846.01
acct_00086,Conta 00086,mid_market,education,395,89996.87
acct_00087,Conta 00087,smb,healthcare,81,31959.02
acct_00088,Conta 00088,mid_market,software,594,35928.15
acct_00089,Conta 00089,mid_market,retail,277,48971.65
acct_00090,Conta 00090,mid_market,retail,483,92193.13
acct_00091,Conta 00091,mid_market,manufacturing,414,40531.42
acct_00092,Conta 00092,mid_market,education,354,46902.66
acct_00093,Conta 00093,smb,manufacturing,95,48978.66
acct_00094,Conta 00094,enterprise,financial_services,1267,38376.14
acct_00095,Conta 00095,enterprise,financial_services,1048,48468.01
acct_00096,Conta 00096,smb,education,46,81033.39
acct_00097,Conta 00097,smb,software,30,64629.95
acct_00098,Conta 00098,mid_market,manufacturing,368,40682.86
acct_00099,Conta 00099,smb,financial_services,169,68301.22
acct_00100,Conta 00100,smb,software,167,70877.3
acct_00101,Conta 00101,smb,software,115,8000.0
acct_00102,Conta 00102,enterprise,education,3682,74356.7
acct_00103,Conta 00103,smb,software,84,88877.6
acct_00104,Conta 00104,smb,manufacturing,77,64493.97
acct_00105,Conta 00105,smb,education,136,31988.54
acct_00106,Conta 00106,smb,healthcare,133,42216.96
acct_00107,Conta 00107,mid_market,manufacturing,601,54564.87
acct_00108,Conta 00108,enterprise,healthcare,1082,22516.31
acct_00109,Conta 00109,smb,software,64,53791.68
acct_00110,Conta 00110,smb,manufacturing,138,58202.89
acct_00111,Conta 00111,mid_market,software,753,55910.16
acct_00112,Conta 00112,smb,retail,52,34764.13
acct_00113,Conta 00113,smb,manufacturing,161,8900.22
acct_00114,Conta 00114,mid_market,retail,256,59126.81
acct_00115,Conta 00115,enterprise,retail,984,77694.74
acct_00116,Conta 00116,smb,retail,121,63359.04
acct_00117,Conta 00117,smb,retail,86,43184.5
acct_00118,Conta 00118,enterprise,retail,1901,40948.6
acct_00119,Conta 00119,smb,software,102,51161.43
acct_00120,Conta 00120,mid_market,financial_services,730,55778.25
acct_00121,Conta 00121,enterprise,retail,1396,20904.51
acct_00122,Conta 00122,mid_market,manufacturing,299,46005.34
acct_00123,Conta 00123,smb,education,85,45478.28
acct_00124,Conta 00124,mid_market,financial_services,825,44800.27
acct_00125,Conta 00125,smb,financial_services,66,59146.6
acct_00126,Conta 00126,enterprise,financial_services,1481,71541.72
acct_00127,Conta 00127,enterprise,retail,2832,94879.15
acct_00128,Conta 00128,smb,software,54,72975.54
acct_00129,Conta 00129,smb,software,78,57587.44
acct_00130,Conta 00130,smb,software,152,62045.14
acct_00131,Conta 00131,mid_market,software,752,76182.16
acct_00132,Conta 00132,enterprise,healthcare,909,70957.81
acct_00133,Conta 00133,smb,healthcare,124,52623.01
acct_00134,Conta 00134,enterprise,manufacturing,3059,80884.23
acct_00135,Conta 00135,enterprise,manufacturing,1045,74240.5
acct_00136,Conta 00136,enterprise,healthcare,2219,76670.0
acct_00137,Conta 00137,smb,financial_services,92,54181.2
acct_00138,Conta 00138,smb,financial_services,130,42053.88
acct_00139,Conta 00139,mid_market,education,378,42621.19
acct_00140,Conta 00140,smb,manufacturing,135,59376.91
acct_00141,Conta 00141,mid_market,manufacturing,468,60819.58
acct_00142,Conta 00142,smb,financial_services,170,69750.45
acct_00143,Conta 00143,smb,healthcare,66,53834.67
acct_00144,Conta 00144,enterprise,financial_services,3645,29648.4
acct_00145,Conta 00145,smb,retail,117,49401.09
acct_00146,Conta 00146,smb,software,80,44401.39
acct_00147,Conta 00147,enterprise,retail,4494,21936.89
acct_00148,Conta 00148,smb,manufacturing,40,31441.47
acct_00149,Conta 00149,mid_market,healthcare,779,39650.0
acct_00150,Conta 00150,smb,software,178,56308.78
acct_00151,Conta 00151,mid_market,financial_services,512,59525.94
acct_00152,Conta 00152,enterprise,education,2400,64595.35
acct_00153,Conta 00153,mid_market,manufacturing,813,37672.13
acct_00154,Conta 00154,smb,software,95,50105.71
acct_00155,Conta 00155,smb,software,159,40227.97
acct_00156,Conta 00156,mid_market,manufacturing,366,58031.12
acct_00157,Conta 00157,mid_market,manufacturing,330,8000.0
acct_00158,Conta 00158,smb,software,89,70342.79
acct_00159,Conta 00159,smb,education,176,43991.04
acct_00160,Conta 00160,mid_market,education,613,34588.51
acct_00161,Conta 00161,smb,software,87,13196.29
acct_00162,Conta 00162,mid_market,retail,181,27596.19
acct_00163,Conta 00163,enterprise,healthcare,2614,39462.22
acct_00164,Conta 00164,smb,software,62,29896.0
acct_00165,Conta 00165,smb,financial_services,78,40156.86
acct_00166,Conta 00166,smb,healthcare,163,57961.66
acct_00167,Conta 00167,smb,financial_services,157,8000.0
acct_00168,Conta 00168,mid_market,software,413,30783.85
acct_00169,Conta 00169,mid_market,manufacturing,535,40790.17
acct_00170,Conta 00170,smb,financial_services,58,42478.54
acct_00171,Conta 00171,enterprise,retail,4236,107807.71
acct_00172,Conta 00172,smb,financial_services,128,79302.27
acct_00173,Conta 00173,smb,manufacturing,138,83313.66
acct_00174,Conta 00174,smb,education,169,53921.02
acct_00175,Conta 00175,mid_market,education,597,35251.0
acct_00176,Conta 00176,smb,software,157,48075.48
acct_00177,Conta 00177,smb,education,85,18124.87
acct_00178,Conta 00178,smb,financial_services,174,22674.44
acct_00179,Conta 00179,enterprise,retail,3819,42962.67
acct_00180,Conta 00180,mid_market,software,481,64192.23
acct_00181,Conta 00181,mid_market,software,198,52178.29
acct_00182,Conta 00182,smb,healthcare,122,50906.43
acct_00183,Conta 00183,smb,financial_services,151,57777.78
acct_00184,Conta 00184,smb,software,94,38151.52
acct_00185,Conta 00185,mid_market,manufacturing,397,47883.18
acct_00186,Conta 00186,smb,education,53,67347.29
acct_00187,Conta 00187,enterprise,financial_services,4387,54199.48
acct_00188,Conta 00188,mid_market,manufacturing,777,111421.43
acct_00189,Conta 00189,enterprise,retail,2857,58561.62
acct_00190,Conta 00190,enterprise,financial_services,2202,36286.11
acct_00191,Conta 00191,smb,education,121,25515.18
acct_00192,Conta 00192,smb,manufacturing,170,71847.74
acct_00193,Conta 00193,mid_market,retail,837,78548.27
acct_00194,Conta 00194,mid_market,manufacturing,863,92135.17
acct_00195,Conta 00195,smb,financial_services,145,59480.5
acct_00196,Conta 00196,smb,healthcare,64,25594.01
acct_00197,Conta 00197,smb,manufacturing,107,40372.52
acct_00198,Conta 00198,smb,education,40,62175.13
acct_00199,Conta 00199,smb,retail,164,83864.04
acct_00200,Conta 00200,enterprise,financial_services,3982,115409.26
acct_00201,Conta 00201,smb,manufacturing,93,33957.0
acct_00202,Conta 00202,enterprise,retail,1615,57182.8
acct_00203,Conta 00203,mid_market,healthcare,292,98727.98
acct_00204,Conta 00204,mid_market,healthcare,576,30906.72
acct_00205,Conta 00205,smb,financial_services,97,21298.46
acct_00206,Conta 00206,smb,healthcare,66,43188.79
acct_00207,Conta 00207,smb,education,85,51866.31
acct_00208,Conta 00208,enterprise,retail,3109,54178.45
acct_00209,Conta 00209,enterprise,manufacturing,2618,77573.36
acct_00210,Conta 00210,smb,healthcare,63,21033.09
acct_00211,Conta 00211,enterprise,software,2346,51303.8
acct_00212,Conta 00212,mid_market,financial_services,303,37541.68
acct_00213,Conta 00213,smb,healthcare,58,27233.56
acct_00214,Conta 00214,mid_market,education,766,58518.64
acct_00215,Conta 00215,smb,healthcare,67,65134.88
acct_00216,Conta 00216,mid_market,manufacturing,591,29276.99
acct_00217,Conta 00217,smb,software,89,51903.64
acct_00218,Conta 00218,smb,healthcare,159,33800.5
acct_00219,Conta 00219,mid_market,software,357,47775.29
acct_00220,Conta 00220,mid_market,retail,514,26408.25
acct_00221,Conta 00221,enterprise,financial_services,1387,84457.27
acct_00222,Conta 00222,smb,software,54,47832.23
acct_00223,Conta 00223,mid_market,software,344,62376.94
acct_00224,Conta 00224,enterprise,software,3711,63626.89
acct_00225,Conta 00225,mid_market,software,770,57331.93
acct_00226,Conta 00226,smb,manufacturing,117,42962.24
acct_00227,Conta 00227,mid_market,financial_services,557,65653.35
acct_00228,Conta 00228,enterprise,retail,4080,59392.23
acct_00229,Conta 00229,mid_market,education,198,48561.45
acct_00230,Conta 00230,mid_market,healthcare,803,49488.94
acct_00231,Conta 00231,smb,financial_services,141,23694.49
acct_00232,Conta 00232,smb,retail,34,94742.92
acct_00233,Conta 00233,mid_market,software,504,56262.87
acct_00234,Conta 00234,smb,software,51,8000.0
acct_00235,Conta 00235,enterprise,software,1224,71913.24
acct_00236,Conta 00236,smb,healthcare,117,48756.87
acct_00237,Conta 00237,mid_market,retail,502,57141.25
acct_00238,Conta 00238,smb,healthcare,66,44004.31
acct_00239,Conta 00239,enterprise,healthcare,1680,94648.74
acct_00240,Conta 00240,enterprise,financial_services,3139,71785.45
acct_00241,Conta 00241,mid_market,manufacturing,234,47003.09
acct_00242,Conta 00242,smb,healthcare,65,25480.44
acct_00243,Conta 00243,mid_market,healthcare,848,91709.65
acct_00244,Conta 00244,mid_market,healthcare,527,75565.51
acct_00245,Conta 00245,mid_market,retail,336,13343.77
acct_00246,Conta 00246,smb,financial_services,115,8661.09
acct_00247,Conta 00247,enterprise,financial_services,2384,59964.18
acct_00248,Conta 00248,smb,retail,179,52714.48
acct_00249,Conta 00249,smb,software,178,52681.71
acct_00250,Conta 00250,mid_market,healthcare,779,73991.12
acct_00251,Conta 00251,smb,education,70,47923.82
acct_00252,Conta 00252,mid_market,healthcare,719,64952.53
acct_00253,Conta 00253,smb,software,64,34047.28
acct_00254,Conta 00254,mid_market,education,378,49452.23
acct_00255,Conta 00255,smb,manufacturing,120,60787.38
acct_00256,Conta 00256,enterprise,software,3509,67694.82
acct_00257,Conta 00257,enterprise,healthcare,1708,79560.46
acct_00258,Conta 00258,smb,financial_services,121,19857.93
acct_00259,Conta 00259,enterprise,financial_services,1054,68535.39
acct_00260,Conta 00260,smb,retail,60,27636.75
acct_00261,Conta 00261,smb,healthcare,175,42582.66
acct_00262,Conta 00262,enterprise,education,3113,8000.0
acct_00263,Conta 00263,mid_market,financial_services,791,41312.73
acct_00264,Conta 00264,mid_market,education,306,28689.96
acct_00265,Conta 00265,smb,manufacturing,86,31698.22
acct_00266,Conta 00266,smb,manufacturing,178,48706.88
acct_00267,Conta 00267,smb,healthcare,143,45318.11
acct_00268,Conta 00268,smb,healthcare,172,23558.48
acct_00269,Conta 00269,smb,financial_services,133,37123.91
acct_00270,Conta 00270,smb,financial_services,71,56337.79
acct_00271,Conta 00271,mid_market,retail,359,12922.92
acct_00272,Conta 00272,enterprise,manufacturing,2754,74852.42
acct_00273,Conta 00273,smb,education,120,65815.82
acct_00274,Conta 00274,smb,healthcare,36,51445.21
acct_00275,Conta 00275,mid_market,software,506,81208.21
acct_00276,Conta 00276,smb,healthcare,171,67858.35
acct_00277,Conta 00277,mid_market,education,879,55578.85
acct_00278,Conta 00278,mid_market,education,461,52172.76
acct_00279,Conta 00279,smb,manufacturing,83,29113.44
acct_00280,Conta 00280,mid_market,financial_services,334,24101.97
acct_00281,Conta 00281,smb,healthcare,142,72861.09
acct_00282,Conta 00282,enterprise,retail,2130,69327.89
acct_00283,Conta 00283,mid_market,software,847,69361.91
acct_00284,Conta 00284,smb,financial_services,58,47291.89
acct_00285,Conta 00285,mid_market,financial_services,725,95967.06
acct_00286,Conta 00286,enterprise,software,3653,30671.8
acct_00287,Conta 00287,enterprise,software,4245,75124.4
acct_00288,Conta 00288,enterprise,healthcare,3672,29151.25
acct_00289,Conta 00289,mid_market,education,211,55804.96
acct_00290,Conta 00290,smb,education,164,62128.57
acct_00291,Conta 00291,smb,software,52,53218.08
acct_00292,Conta 00292,mid_market,software,745,43764.03
acct_00293,Conta 00293,enterprise,financial_services,3003,57233.47
acct_00294,Conta 00294,enterprise,retail,3052,29049.33
acct_00295,Conta 00295,enterprise,financial_services,4121,73758.61
acct_00296,Conta 00296,smb,healthcare,45,33610.5
acct_00297,Conta 00297,smb,education,47,52889.88
acct_00298,Conta 00298,enterprise,financial_services,1584,41603.5
acct_00299,Conta 00299,smb,software,80,62854.12
acct_00300,Conta 00300,smb,education,78,42312.02
acct_00301,Conta 00301,smb,financial_services,88,57754.47
acct_00302,Conta 00302,mid_market,financial_services,556,52886.25
acct_00303,Conta 00303,mid_market,healthcare,510,56227.08
acct_00304,Conta 00304,mid_market,education,806,50234.68
acct_00305,Conta 00305,mid_market,software,580,36206.15
acct_00306,Conta 00306,enterprise,healthcare,3433,22603.9
acct_00307,Conta 00307,smb,financial_services,175,30754.88
acct_00308,Conta 00308,mid_market,manufacturing,212,30830.66
acct_00309,Conta 00309,mid_market,education,494,54152.6
acct_00310,Conta 00310,mid_market,healthcare,237,56916.64
acct_00311,Conta 00311,smb,healthcare,104,52952.13
acct_00312,Conta 00312,smb,retail,177,77351.08
acct_00313,Conta 00313,smb,financial_services,154,69234.45
acct_00314,Conta 00314,smb,manufacturing,40,96993.75
acct_00315,Conta 00315,smb,education,159,62969.0
acct_00316,Conta 00316,smb,retail,112,44979.63
acct_00317,Conta 00317,mid_market,manufacturing,778,75238.52
acct_00318,Conta 00318,mid_market,healthcare,481,58593.99
acct_00319,Conta 00319,mid_market,education,443,62524.56
acct_00320,Conta 00320,enterprise,software,1755,59994.13
acct_00321,Conta 00321,mid_market,software,232,104021.46
acct_00322,Conta 00322,enterprise,manufacturing,3047,69036.53
acct_00323,Conta 00323,mid_market,healthcare,394,21644.04
acct_00324,Conta 00324,enterprise,education,2654,45659.23
acct_00325,Conta 00325,smb,software,59,61200.34
acct_00326,Conta 00326,smb,education,124,70080.0
acct_00327,Conta 00327,mid_market,financial_services,869,42693.74
acct_00328,Conta 00328,mid_market,healthcare,568,101707.46
acct_00329,Conta 00329,mid_market,retail,653,30404.25
acct_00330,Conta 00330,mid_market,education,560,12345.07
acct_00331,Conta 00331,mid_market,education,775,11349.98
acct_00332,Conta 00332,mid_market,financial_services,445,55498.51
acct_00333,Conta 00333,smb,education,65,41616.73
acct_00334,Conta 00334,smb,manufacturing,46,42632.86
acct_00335,Conta 00335,enterprise,manufacturing,2780,58664.75
acct_00336,Conta 00336,enterprise,retail,3885,80754.53
acct_00337,Conta 00337,smb,education,99,48610.39
acct_00338,Conta 00338,smb,software,64,18362.98
acct_00339,Conta 00339,smb,financial_services,166,58915.06
acct_00340,Conta 00340,enterprise,manufacturing,3201,61656.65
acct_00341,Conta 00341,enterprise,healthcare,2735,88355.15
acct_00342,Conta 00342,smb,manufacturing,77,56675.69
acct_00343,Conta 00343,smb,financial_services,107,72549.63
acct_00344,Conta 00344,smb,retail,32,55891.68
acct_00345,Conta 00345,mid_market,healthcare,798,11193.48
acct_00346,Conta 00346,mid_market,manufacturing,501,101283.07
acct_00347,Conta 00347,smb,healthcare,127,56404.27
acct_00348,Conta 00348,smb,manufacturing,172,72059.92
acct_00349,Conta 00349,mid_market,retail,622,43231.96
acct_00350,Conta 00350,mid_market,financial_services,736,39194.71
acct_00351,Conta 00351,mid_market,retail,811,82822.24
acct_00352,Conta 00352,smb,retail,81,45624.21
acct_00353,Conta 00353,smb,healthcare,108,64292.47
acct_00354,Conta 00354,smb,healthcare,143,24160.09
acct_00355,Conta 00355,enterprise,software,3292,86382.92
acct_00356,Conta 00356,enterprise,education,4237,23052.66
acct_00357,Conta 00357,mid_market,education,464,77403.71
acct_00358,Conta 00358,mid_market,retail,516,56889.11
acct_00359,Conta 00359,smb,software,100,39778.37
acct_00360,Conta 00360,mid_market,software,599,83672.44
acct_00361,Conta 00361,mid_market,software,863,41236.19
acct_00362,Conta 00362,enterprise,education,4034,55074.23
acct_00363,Conta 00363,mid_market,manufacturing,822,24776.94
acct_00364,Conta 00364,smb,software,159,32967.04
acct_00365,Conta 00365,mid_market,education,761,43890.35
acct_00366,Conta 00366,smb,software,89,34393.9
acct_00367,Conta 00367,smb,manufacturing,99,67847.61
acct_00368,Conta 00368,smb,healthcare,57,39577.92
acct_00369,Conta 00369,smb,manufacturing,162,18969.06
acct_00370,Conta 00370,enterprise,healthcare,4208,44621.35
acct_00371,Conta 00371,smb,software,156,64795.56
acct_00372,Conta 00372,smb,manufacturing,83,64717.59
acct_00373,Conta 00373,mid_market,software,639,65708.64
acct_00374,Conta 00374,smb,retail,87,40327.21
acct_00375,Conta 00375,smb,manufacturing,124,87093.53
acct_00376,Conta 00376,mid_market,retail,609,67057.28
acct_00377,Conta 00377,smb,software,36,60828.94
acct_00378,Conta 00378,mid_market,healthcare,610,26856.71
acct_00379,Conta 00379,enterprise,education,4430,57695.56
acct_00380,Conta 00380,smb,education,97,19215.69
acct_00381,Conta 00381,mid_market,manufacturing,448,44052.25
acct_00382,Conta 00382,mid_market,retail,603,69081.12
acct_00383,Conta 00383,smb,financial_services,152,50984.06
acct_00384,Conta 00384,mid_market,education,478,75806.67
acct_00385,Conta 00385,smb,manufacturing,113,78456.48
acct_00386,Conta 00386,smb,education,62,47009.99
acct_00387,Conta 00387,enterprise,financial_services,2085,62675.77
acct_00388,Conta 00388,smb,financial_services,51,23438.36
acct_00389,Conta 00389,enterprise,education,3143,106652.12
acct_00390,Conta 00390,smb,manufacturing,110,42185.27
acct_00391,Conta 00391,smb,financial_services,136,85632.45
acct_00392,Conta 00392,smb,financial_services,132,44983.77
acct_00393,Conta 00393,smb,healthcare,162,70182.5
acct_00394,Conta 00394,mid_market,education,340,91105.64
acct_00395,Conta 00395,smb,software,173,58088.38
acct_00396,Conta 00396,smb,financial_services,80,48850.5
acct_00397,Conta 00397,smb,software,68,39212.82
acct_00398,Conta 00398,smb,financial_services,127,74382.0
acct_00399,Conta 00399,enterprise,financial_services,3478,70789.79
acct_00400,Conta 00400,mid_market,healthcare,354,80366.57
acct_00401,Conta 00401,mid_market,software,403,35399.8
acct_00402,Conta 00402,mid_market,healthcare,251,38569.9
acct_00403,Conta 00403,mid_market,manufacturing,605,77589.29
acct_00404,Conta 00404,smb,retail,134,44622.18
acct_00405,Conta 00405,mid_market,retail,714,55587.51
acct_00406,Conta 00406,mid_market,software,614,45318.6
acct_00407,Conta 00407,mid_market,software,688,32200.91
acct_00408,Conta 00408,smb,healthcare,144,60446.61
acct_00409,Conta 00409,mid_market,healthcare,359,39749.2
acct_00410,Conta 00410,smb,financial_services,52,18215.45
acct_00411,Conta 00411,smb,financial_services,86,71293.22
acct_00412,Conta 00412,smb,manufacturing,174,56750.06
acct_00413,Conta 00413,mid_market,software,618,38674.62
acct_00414,Conta 00414,mid_market,healthcare,841,49642.69
acct_00415,Conta 00415,enterprise,financial_services,1201,69022.25
acct_00416,Conta 00416,smb,healthcare,144,36551.26
acct_00417,Conta 00417,mid_market,financial_services,397,61648.51
acct_00418,Conta 00418,mid_market,healthcare,665,49857.49
acct_00419,Conta 00419,smb,software,58,72001.7
acct_00420,Conta 00420,mid_market,financial_services,828,40510.12
acct_00421,Conta 00421,smb,software,146,86492.56
acct_00422,Conta 00422,smb,retail,125,36784.23
acct_00423,Conta 00423,mid_market,financial_services,435,46839.19
acct_00424,Conta 00424,smb,retail,76,32596.58
acct_00425,Conta 00425,enterprise,financial_services,1247,64286.89
acct_00426,Conta 00426,smb,manufacturing,177,40183.25
acct_00427,Conta 00427,smb,manufacturing,170,50727.12
acct_00428,Conta 00428,mid_market,software,802,63878.68
acct_00429,Conta 00429,mid_market,healthcare,460,66522.63
acct_00430,Conta 00430,smb,healthcare,167,51231.7
acct_00431,Conta 00431,enterprise,education,1244,40775.15
acct_00432,Conta 00432,mid_market,manufacturing,190,48593.58
acct_00433,Conta 00433,smb,financial_services,50,39949.5
acct_00434,Conta 00434,mid_market,financial_services,261,50051.68
acct_00435,Conta 00435,smb,healthcare,167,58127.93
acct_00436,Conta 00436,smb,financial_services,100,59579.98
acct_00437,Conta 00437,mid_market,software,253,48840.42
acct_00438,Conta 00438,mid_market,software,524,43340.21
acct_00439,Conta 00439,mid_market,financial_services,608,86915.54
acct_00440,Conta 00440,mid_market,software,413,72942.92
acct_00441,Conta 00441,mid_market,education,640,74375.89
acct_00442,Conta 00442,smb,healthcare,116,50393.92
acct_00443,Conta 00443,mid_market,software,200,17092.91
acct_00444,Conta 00444,smb,retail,119,15850.36
acct_00445,Conta 00445,enterprise,retail,1131,75751.9
acct_00446,Conta 00446,smb,healthcare,136,56648.43
acct_00447,Conta 00447,enterprise,software,4298,88194.81
acct_00448,Conta 00448,smb,manufacturing,162,31221.83
acct_00449,Conta 00449,mid_market,healthcare,542,49112.57
acct_00450,Conta 00450,mid_market,manufacturing,264,48805.41
acct_00451,Conta 00451,smb,manufacturing,131,34805.04
acct_00452,Conta 00452,smb,healthcare,79,27540.21
acct_00453,Conta 00453,mid_market,education,795,70971.16
acct_00454,Conta 00454,mid_market,financial_services,867,51904.57
acct_00455,Conta 00455,enterprise,education,2876,64672.27
acct_00456,Conta 00456,enterprise,education,1148,36363.23
acct_00457,Conta 00457,mid_market,retail,361,43870.67
acct_00458,Conta 00458,enterprise,manufacturing,1736,84557.17
acct_00459,Conta 00459,mid_market,financial_services,654,61078.31
acct_00460,Conta 00460,smb,retail,153,43168.98
acct_00461,Conta 00461,mid_market,retail,412,32560.53
acct_00462,Conta 00462,mid_market,software,423,65926.68
acct_00463,Conta 00463,mid_market,manufacturing,181,25410.26
acct_00464,Conta 00464,enterprise,software,3750,41994.27
acct_00465,Conta 00465,mid_market,software,626,41578.39
acct_00466,Conta 00466,smb,retail,91,28152.35
acct_00467,Conta 00467,smb,financial_services,96,59181.67
acct_00468,Conta 00468,enterprise,manufacturing,2694,72080.18
acct_00469,Conta 00469,smb,financial_services,137,58329.37
acct_00470,Conta 00470,smb,manufacturing,126,69111.1
acct_00471,Conta 00471,mid_market,manufacturing,870,67854.93
acct_00472,Conta 00472,enterprise,education,1520,43928.79
acct_00473,Conta 00473,mid_market,healthcare,544,96680.69
acct_00474,Conta 00474,smb,education,32,73614.67
acct_00475,Conta 00475,smb,healthcare,53,78312.39
acct_00476,Conta 00476,enterprise,manufacturing,2595,16572.46
acct_00477,Conta 00477,enterprise,financial_services,2139,86579.37
acct_00478,Conta 00478,smb,retail,107,52993.36
acct_00479,Conta 00479,mid_market,healthcare,799,78545.53
acct_00480,Conta 00480,smb,software,41,41247.65
acct_00481,Conta 00481,mid_market,education,461,53445.18
acct_00482,Conta 00482,mid_market,retail,243,23340.79
acct_00483,Conta 00483,enterprise,software,2704,64036.3
acct_00484,Conta 00484,enterprise,financial_services,1713,27459.14
acct_00485,Conta 00485,smb,retail,84,70101.36
acct_00486,Conta 00486,smb,software,155,35971.22
acct_00487,Conta 00487,mid_market,financial_services,257,47204.85
acct_00488,Conta 00488,mid_market,financial_services,759,107608.57
acct_00489,Conta 00489,smb,healthcare,143,32125.82
acct_00490,Conta 00490,smb,education,76,59912.27
acct_00491,Conta 00491,smb,financial_services,61,40696.58
acct_00492,Conta 00492,enterprise,retail,1363,53610.3
acct_00493,Conta 00493,mid_market,education,749,50657.72
acct_00494,Conta 00494,smb,software,55,35221.29
acct_00495,Conta 00495,mid_market,manufacturing,623,104520.5
