lead_id,rule_id,sdr_id,priority_tier,routing_method,response_time_hours,routed_at
lead_00043,rule_01,sdr_05,p1,rule_based,13.09,2026-04-06T00:00:00
lead_00044,rule_04,sdr_03,p3,rule_based,20.99,2026-04-06T00:00:00
lead_00045,rule_03,sdr_01,p2,rule_based,10.93,2026-04-06T00:00:00
lead_00046,rule_03,sdr_04,p4,rule_based,11.76,2026-04-06T00:00:00
lead_00047,rule_02,sdr_02,p3,rule_based,36.04,2026-04-06T00:00:00
lead_00048,rule_03,sdr_01,p3,rule_based,12.49,2026-04-06T00:00:00
lead_00049,rule_01,sdr_05,p3,rule_based,7.4,2026-04-06T00:00:00
lead_00050,rule_03,sdr_01,p3,rule_based,2.66,2026-04-06T00:00:00
lead_00051,rule_01,sdr_05,p2,rule_based,8.72,2026-04-06T00:00:00
lead_00052,rule_02,sdr_02,p4,rule_based,18.42,2026-04-07T00:00:00
lead_00053,rule_01,sdr_05,p3,rule_based,15.18,2026-04-07T00:00:00
lead_00054,rule_02,sdr_02,p2,rule_based,1.52,2026-04-07T00:00:00
lead_00055,rule_03,sdr_01,p3,rule_based,27.15,2026-04-07T00:00:00
lead_00056,rule_03,sdr_01,p2,rule_based,10.53,2026-04-07T00:00:00
lead_00057,rule_03,sdr_01,p1,rule_based,2.84,2026-04-07T00:00:00
lead_00058,rule_02,sdr_02,p3,rule_based,17.61,2026-04-07T00:00:00
lead_00059,rule_02,sdr_02,p4,rule_based,33.2,2026-04-07T00:00:00
lead_00060,rule_03,sdr_01,p3,rule_based,14.59,2026-04-07T00:00:00
lead_00061,rule_01,sdr_05,p2,rule_based,16.72,2026-04-07T00:00:00
lead_00062,rule_01,sdr_05,p3,rule_based,11.01,2026-04-07T00:00:00
lead_00063,rule_03,sdr_01,p3,rule_based,23.72,2026-04-07T00:00:00
lead_00064,rule_04,sdr_03,p3,rule_based,6.03,2026-04-07T00:00:00
lead_00065,rule_03,sdr_01,p1,rule_based,7.14,2026-04-07T00:00:00
lead_00066,rule_01,sdr_05,p1,rule_based,6.63,2026-04-07T00:00:00
lead_00067,rule_04,sdr_03,p2,rule_based,3.81,2026-04-07T00:00:00
lead_00068,rule_03,sdr_01,p3,rule_based,14.26,2026-04-07T00:00:00
lead_00069,rule_01,sdr_05,p2,rule_based,12.46,2026-04-07T00:00:00
lead_00070,rule_01,sdr_05,p3,rule_based,13.16,2026-04-07T00:00:00
lead_00071,rule_02,sdr_02,p2,rule_based,10.91,2026-04-07T00:00:00
lead_00072,rule_04,sdr_03,p2,rule_based,6.54,2026-04-07T00:00:00
lead_00073,rule_04,sdr_02,p3,rule_based,14.4,2026-04-07T00:00:00
lead_00074,rule_01,sdr_05,p3,rule_based,25.44,2026-04-07T00:00:00
lead_00075,rule_03,sdr_01,p3,rule_based,13.85,2026-04-08T00:00:00
lead_00076,rule_01,sdr_05,p1,rule_based,3.02,2026-04-08T00:00:00
lead_00077,rule_02,sdr_02,p4,rule_based,15.88,2026-04-08T00:00:00
lead_00078,rule_02,sdr_02,p4,rule_based,7.99,2026-04-08T00:00:00
lead_00079,rule_04,sdr_04,p3,rule_based,2.24,2026-04-08T00:00:00
lead_00080,rule_03,sdr_01,p1,rule_based,57.05,2026-04-08T00:00:00
lead_00081,rule_03,sdr_01,p2,rule_based,3.73,2026-04-08T00:00:00
lead_00082,rule_01,sdr_05,p2,rule_based,6.66,2026-04-08T00:00:00
lead_00083,rule_03,sdr_01,p3,rule_based,2.96,2026-04-08T00:00:00
lead_00084,rule_03,sdr_01,p3,rule_based,14.78,2026-04-08T00:00:00
lead_00085,rule_01,sdr_05,p3,rule_based,6.5,2026-04-08T00:00:00
lead_00086,rule_03,sdr_01,p2,rule_based,7.3,2026-04-08T00:00:00
lead_00087,rule_04,sdr_04,p3,rule_based,5.71,2026-04-08T00:00:00
lead_00088,rule_03,sdr_01,p1,rule_based,6.66,2026-04-08T00:00:00
lead_00089,rule_03,sdr_01,p2,rule_based,36.29,2026-04-08T00:00:00
lead_00090,rule_01,sdr_05,p2,rule_based,16.82,2026-04-08T00:00:00
lead_00091,rule_03,sdr_01,p1,rule_based,55.45,2026-04-08T00:00:00
lead_00092,rule_03,sdr_01,p3,rule_based,23.16,2026-04-08T00:00:00
lead_00093,rule_02,sdr_02,p4,rule_based,9.51,2026-04-08T00:00:00
lead_00094,rule_01,sdr_05,p3,rule_based,11.72,2026-04-08T00:00:00
lead_00095,rule_01,sdr_05,p3,rule_based,24.64,2026-04-08T00:00:00
lead_00096,rule_03,,p1,rule_based,,2026-04-08T00:00:00
lead_00097,rule_04,sdr_03,p2,rule_based,12.95,2026-04-09T00:00:00
lead_00098,rule_03,sdr_01,p3,rule_based,15.83,2026-04-09T00:00:00
lead_00099,rule_02,sdr_02,p4,rule_based,22.38,2026-04-09T00:00:00
lead_00100,rule_03,sdr_01,p1,rule_based,10.45,2026-04-09T00:00:00
lead_00101,rule_02,sdr_02,p3,rule_based,19.32,2026-04-09T00:00:00
lead_00102,rule_01,sdr_05,p4,rule_based,14.35,2026-04-09T00:00:00
lead_00103,rule_04,sdr_04,p4,rule_based,16.96,2026-04-09T00:00:00
lead_00104,rule_02,sdr_02,p2,rule_based,8.7,2026-04-09T00:00:00
lead_00105,rule_02,sdr_02,p2,rule_based,14.56,2026-04-09T00:00:00
lead_00106,rule_02,sdr_02,p3,rule_based,10.81,2026-04-09T00:00:00
lead_00107,rule_03,sdr_01,p3,rule_based,5.07,2026-04-09T00:00:00
lead_00108,rule_01,sdr_05,p4,rule_based,35.9,2026-04-09T00:00:00
lead_00109,rule_03,sdr_01,p3,rule_based,7.94,2026-04-09T00:00:00
lead_00110,rule_04,sdr_02,p3,rule_based,15.04,2026-04-09T00:00:00
lead_00111,rule_04,sdr_03,p4,rule_based,14.96,2026-04-09T00:00:00
lead_00112,rule_02,sdr_02,p3,rule_based,5.01,2026-04-09T00:00:00
lead_00113,rule_03,sdr_01,p3,rule_based,10.92,2026-04-09T00:00:00
lead_00114,rule_04,sdr_02,p3,rule_based,12.04,2026-04-09T00:00:00
lead_00115,rule_01,sdr_05,p2,rule_based,31.35,2026-04-09T00:00:00
lead_00116,rule_03,sdr_04,p2,rule_based,4.38,2026-04-09T00:00:00
lead_00117,rule_04,sdr_02,p3,rule_based,15.38,2026-04-09T00:00:00
lead_00118,rule_01,sdr_05,p3,rule_based,8.84,2026-04-10T00:00:00
lead_00119,rule_04,sdr_03,p3,rule_based,14.64,2026-04-10T00:00:00
lead_00120,rule_03,sdr_01,p2,rule_based,29.71,2026-04-10T00:00:00
lead_00121,rule_01,sdr_05,p4,rule_based,18.99,2026-04-10T00:00:00
lead_00122,rule_03,sdr_01,p4,rule_based,16.54,2026-04-10T00:00:00
lead_00123,rule_03,sdr_04,p3,rule_based,9.65,2026-04-10T00:00:00
lead_00124,rule_03,sdr_01,p1,rule_based,13.85,2026-04-10T00:00:00
lead_00125,rule_04,sdr_04,p2,rule_based,0.62,2026-04-10T00:00:00
lead_00126,rule_01,sdr_05,p2,rule_based,14.43,2026-04-10T00:00:00
lead_00127,rule_01,sdr_05,p1,rule_based,15.37,2026-04-10T00:00:00
lead_00128,rule_04,sdr_02,p3,rule_based,16.78,2026-04-10T00:00:00
lead_00129,rule_02,sdr_02,p4,rule_based,26.71,2026-04-10T00:00:00
lead_00130,rule_03,sdr_01,p2,rule_based,14.36,2026-04-10T00:00:00
lead_00131,rule_01,sdr_05,p3,rule_based,7.87,2026-04-10T00:00:00
lead_00132,rule_01,sdr_05,p1,rule_based,3.32,2026-04-10T00:00:00
lead_00133,rule_04,sdr_03,p4,rule_based,8.05,2026-04-10T00:00:00
lead_00134,rule_01,sdr_05,p1,rule_based,8.88,2026-04-10T00:00:00
lead_00135,rule_01,sdr_05,p1,rule_based,4.54,2026-04-10T00:00:00
lead_00136,rule_01,sdr_05,p1,rule_based,6.34,2026-04-10T00:00:00
lead_00137,rule_04,sdr_02,p2,rule_based,2.19,2026-04-10T00:00:00
lead_00138,rule_02,sdr_02,p3,rule_based,13.76,2026-04-10T00:00:00
lead_00139,rule_03,sdr_01,p3,rule_based,21.14,2026-04-11T00:00:00
lead_00140,rule_04,sdr_03,p3,rule_based,24.36,2026-04-11T00:00:00
lead_00141,rule_03,sdr_01,p2,rule_based,0.91,2026-04-11T00:00:00
lead_00142,rule_04,sdr_02,p4,rule_based,37.89,2026-04-11T00:00:00
lead_00143,rule_04,sdr_02,p3,rule_based,20.11,2026-04-11T00:00:00
lead_00144,rule_01,sdr_05,p1,rule_based,3.13,2026-04-11T00:00:00
lead_00145,rule_02,sdr_02,p1,rule_based,36.69,2026-04-11T00:00:00
lead_00146,rule_03,sdr_01,p2,rule_based,11.28,2026-04-11T00:00:00
lead_00147,rule_01,sdr_05,p1,rule_based,3.32,2026-04-11T00:00:00
lead_00148,rule_02,sdr_02,p4,rule_based,15.02,2026-04-11T00:00:00
lead_00149,rule_03,sdr_01,p2,rule_based,3.49,2026-04-11T00:00:00
lead_00150,rule_02,sdr_02,p3,rule_based,8.11,2026-04-11T00:00:00
lead_00151,rule_03,sdr_01,p2,rule_based,20.62,2026-04-11T00:00:00
lead_00152,rule_01,sdr_05,p1,rule_based,7.68,2026-04-11T00:00:00
lead_00153,rule_03,sdr_01,p4,rule_based,2.66,2026-04-11T00:00:00
lead_00154,rule_02,sdr_02,p3,rule_based,23.42,2026-04-11T00:00:00
lead_00155,rule_02,sdr_02,p3,rule_based,65.71,2026-04-11T00:00:00
lead_00156,rule_03,sdr_04,p2,rule_based,29.95,2026-04-11T00:00:00
lead_00157,rule_03,sdr_04,p1,rule_based,45.12,2026-04-11T00:00:00
lead_00158,rule_04,sdr_03,p3,rule_based,3.91,2026-04-11T00:00:00
lead_00159,rule_02,sdr_02,p2,rule_based,13.93,2026-04-11T00:00:00
lead_00160,rule_03,sdr_01,p4,rule_based,33.91,2026-04-12T00:00:00
lead_00161,rule_02,sdr_02,p4,rule_based,21.4,2026-04-12T00:00:00
lead_00162,rule_03,sdr_01,p3,rule_based,4.39,2026-04-12T00:00:00
lead_00163,rule_01,sdr_05,p4,rule_based,16.45,2026-04-12T00:00:00
lead_00164,rule_04,sdr_03,p3,rule_based,9.28,2026-04-12T00:00:00
lead_00165,rule_02,sdr_02,p3,rule_based,17.38,2026-04-12T00:00:00
lead_00166,rule_02,sdr_02,p3,rule_based,8.25,2026-04-12T00:00:00
lead_00167,rule_02,sdr_02,p3,rule_based,33.79,2026-04-12T00:00:00
lead_00168,rule_03,sdr_01,p3,rule_based,10.62,2026-04-12T00:00:00
lead_00169,rule_03,sdr_04,p2,rule_based,20.98,2026-04-12T00:00:00
lead_00170,rule_02,sdr_02,p3,rule_based,20.07,2026-04-12T00:00:00
lead_00171,rule_01,sdr_05,p2,rule_based,12.9,2026-04-12T00:00:00
lead_00172,rule_04,sdr_04,p3,rule_based,17.16,2026-04-12T00:00:00
lead_00173,rule_04,sdr_03,p3,rule_based,24.24,2026-04-12T00:00:00
lead_00174,rule_03,sdr_01,p3,rule_based,29.95,2026-04-12T00:00:00
lead_00175,rule_03,sdr_01,p2,rule_based,4.8,2026-04-12T00:00:00
lead_00176,rule_04,sdr_04,p3,rule_based,15.15,2026-04-12T00:00:00
lead_00177,rule_02,sdr_02,p2,rule_based,20.35,2026-04-12T00:00:00
lead_00178,rule_03,sdr_01,p3,rule_based,3.67,2026-04-12T00:00:00
lead_00179,rule_01,sdr_05,p1,rule_based,41.61,2026-04-12T00:00:00
lead_00180,rule_03,sdr_01,p2,rule_based,10.6,2026-04-12T00:00:00
lead_00181,rule_03,sdr_01,p1,rule_based,4.21,2026-04-12T00:00:00
lead_00182,rule_03,sdr_04,p1,rule_based,5.5,2026-04-12T00:00:00
lead_00183,rule_02,sdr_02,p3,rule_based,9.22,2026-04-13T00:00:00
lead_00184,rule_02,sdr_02,p2,rule_based,2.67,2026-04-13T00:00:00
lead_00185,rule_03,sdr_01,p1,rule_based,2.02,2026-04-13T00:00:00
lead_00186,rule_03,sdr_04,p2,rule_based,9.12,2026-04-13T00:00:00
lead_00187,rule_01,sdr_05,p2,rule_based,3.92,2026-04-13T00:00:00
lead_00188,rule_01,sdr_05,p2,rule_based,14.29,2026-04-13T00:00:00
lead_00189,rule_01,sdr_05,p4,rule_based,12.82,2026-04-13T00:00:00
lead_00190,rule_01,sdr_05,p3,rule_based,22.52,2026-04-13T00:00:00
lead_00191,rule_02,sdr_02,p2,rule_based,12.73,2026-04-13T00:00:00
lead_00192,rule_03,sdr_01,p2,rule_based,3.55,2026-04-13T00:00:00
lead_00193,rule_01,sdr_05,p2,rule_based,5.83,2026-04-13T00:00:00
lead_00194,rule_04,sdr_03,p3,rule_based,23.77,2026-04-13T00:00:00
lead_00195,rule_02,sdr_02,p3,rule_based,21.16,2026-04-13T00:00:00
lead_00196,rule_02,sdr_02,p2,rule_based,16.4,2026-04-13T00:00:00
lead_00197,rule_03,sdr_01,p2,rule_based,6.42,2026-04-13T00:00:00
lead_00198,rule_02,sdr_02,p2,rule_based,5.62,2026-04-13T00:00:00
lead_00199,rule_02,sdr_02,p3,rule_based,31.98,2026-04-13T00:00:00
lead_00200,rule_01,sdr_05,p4,rule_based,14.94,2026-04-13T00:00:00
lead_00201,rule_03,sdr_01,p3,rule_based,19.51,2026-04-13T00:00:00
lead_00202,rule_01,sdr_05,p2,rule_based,5.73,2026-04-13T00:00:00
lead_00203,rule_03,sdr_04,p1,rule_based,6.78,2026-04-13T00:00:00
lead_00204,rule_03,sdr_01,p3,rule_based,19.68,2026-04-14T00:00:00
lead_00205,rule_02,sdr_02,p3,rule_based,6.39,2026-04-14T00:00:00
lead_00206,rule_03,sdr_01,p1,rule_based,44.75,2026-04-14T00:00:00
lead_00207,rule_02,sdr_02,p3,rule_based,15.01,2026-04-14T00:00:00
lead_00208,rule_01,sdr_05,p2,rule_based,7.61,2026-04-14T00:00:00
lead_00209,rule_01,sdr_05,p2,rule_based,42.49,2026-04-14T00:00:00
lead_00210,rule_02,sdr_02,p2,rule_based,9.4,2026-04-14T00:00:00
lead_00211,rule_01,sdr_05,p1,rule_based,25.04,2026-04-14T00:00:00
lead_00212,rule_04,,p3,rule_based,,2026-04-14T00:00:00
lead_00213,rule_04,sdr_03,p3,rule_based,18.01,2026-04-14T00:00:00
lead_00214,rule_03,sdr_01,p3,rule_based,6.46,2026-04-14T00:00:00
lead_00215,rule_04,sdr_02,p2,rule_based,28.63,2026-04-14T00:00:00
lead_00216,rule_04,sdr_03,p3,rule_based,5.56,2026-04-14T00:00:00
lead_00217,rule_02,sdr_02,p2,rule_based,6.98,2026-04-14T00:00:00
lead_00218,rule_02,sdr_02,p3,rule_based,23.85,2026-04-14T00:00:00
lead_00219,rule_03,sdr_01,p3,rule_based,7.65,2026-04-14T00:00:00
lead_00220,rule_04,sdr_03,p4,rule_based,14.27,2026-04-14T00:00:00
lead_00221,rule_01,sdr_05,p2,rule_based,5.33,2026-04-14T00:00:00
lead_00222,rule_02,sdr_02,p2,rule_based,6.94,2026-04-14T00:00:00
lead_00223,rule_03,sdr_04,p3,rule_based,24.63,2026-04-14T00:00:00
lead_00224,rule_01,sdr_05,p1,rule_based,9.67,2026-04-14T00:00:00
lead_00225,rule_03,sdr_01,p1,rule_based,5.47,2026-04-14T00:00:00
lead_00226,rule_02,sdr_02,p3,rule_based,18.58,2026-04-14T00:00:00
lead_00227,rule_03,sdr_01,p1,rule_based,7.68,2026-04-14T00:00:00
lead_00228,rule_01,sdr_05,p3,rule_based,6.17,2026-04-15T00:00:00
lead_00229,rule_03,sdr_04,p2,rule_based,12.64,2026-04-15T00:00:00
lead_00230,rule_03,sdr_01,p1,rule_based,16.82,2026-04-15T00:00:00
lead_00231,rule_04,sdr_03,p3,rule_based,6.66,2026-04-15T00:00:00
lead_00232,rule_04,sdr_02,p2,rule_based,20.56,2026-04-15T00:00:00
lead_00233,rule_04,sdr_03,p3,rule_based,3.34,2026-04-15T00:00:00
lead_00234,rule_03,sdr_01,p2,rule_based,12.76,2026-04-15T00:00:00
lead_00235,rule_01,sdr_05,p2,rule_based,16.35,2026-04-15T00:00:00
lead_00236,rule_03,sdr_01,p3,rule_based,14.87,2026-04-15T00:00:00
lead_00237,rule_03,sdr_04,p1,rule_based,11.07,2026-04-15T00:00:00
lead_00238,rule_02,sdr_02,p2,rule_based,9.15,2026-04-15T00:00:00
lead_00239,rule_01,sdr_05,p1,rule_based,13.7,2026-04-15T00:00:00
lead_00240,rule_01,sdr_05,p4,rule_based,7.04,2026-04-15T00:00:00
lead_00241,rule_03,sdr_01,p1,rule_based,7.83,2026-04-15T00:00:00
lead_00242,rule_02,sdr_02,p4,rule_based,31.28,2026-04-15T00:00:00
lead_00243,rule_03,sdr_01,p2,rule_based,9.43,2026-04-15T00:00:00
lead_00244,rule_03,sdr_04,p3,rule_based,13.26,2026-04-15T00:00:00
lead_00245,rule_03,sdr_04,p3,rule_based,11.95,2026-04-15T00:00:00
lead_00246,rule_02,sdr_02,p4,rule_based,7.44,2026-04-15T00:00:00
lead_00247,rule_01,sdr_05,p1,rule_based,24.53,2026-04-15T00:00:00
lead_00248,rule_04,sdr_03,p3,rule_based,4.33,2026-04-15T00:00:00
lead_00249,rule_03,sdr_01,p2,rule_based,8.56,2026-04-15T00:00:00
lead_00250,rule_04,sdr_04,p4,rule_based,42.3,2026-04-15T00:00:00
lead_00251,rule_04,sdr_04,p2,rule_based,5.78,2026-04-15T00:00:00
lead_00252,rule_03,sdr_04,p3,rule_based,10.32,2026-04-15T00:00:00
lead_00253,rule_03,sdr_01,p2,rule_based,9.83,2026-04-15T00:00:00
lead_00254,rule_03,sdr_01,p2,rule_based,11.38,2026-04-15T00:00:00
lead_00255,rule_02,sdr_02,p3,rule_based,9.59,2026-04-15T00:00:00
lead_00256,rule_01,sdr_05,p4,rule_based,30.54,2026-04-16T00:00:00
lead_00257,rule_01,sdr_05,p1,rule_based,13.12,2026-04-16T00:00:00
lead_00258,rule_03,sdr_01,p3,rule_based,15.45,2026-04-16T00:00:00
lead_00259,rule_01,sdr_05,p2,rule_based,6.08,2026-04-16T00:00:00
lead_00260,rule_03,sdr_01,p3,rule_based,14.06,2026-04-16T00:00:00
lead_00261,rule_02,sdr_02,p3,rule_based,29.86,2026-04-16T00:00:00
lead_00262,rule_01,sdr_05,p1,rule_based,1.18,2026-04-16T00:00:00
lead_00263,rule_03,sdr_04,p3,rule_based,5.87,2026-04-16T00:00:00
lead_00264,rule_03,sdr_01,p1,rule_based,63.32,2026-04-16T00:00:00
lead_00265,rule_03,sdr_01,p3,rule_based,8.4,2026-04-16T00:00:00
lead_00266,rule_03,sdr_01,p2,rule_based,12.4,2026-04-16T00:00:00
lead_00267,rule_03,sdr_01,p2,rule_based,6.05,2026-04-16T00:00:00
lead_00268,rule_02,sdr_02,p3,rule_based,14.57,2026-04-16T00:00:00
lead_00269,rule_02,sdr_02,p4,rule_based,14.6,2026-04-16T00:00:00
lead_00270,rule_02,sdr_02,p4,rule_based,19.08,2026-04-16T00:00:00
lead_00271,rule_03,sdr_01,p4,rule_based,13.89,2026-04-16T00:00:00
lead_00272,rule_01,sdr_05,p3,rule_based,44.09,2026-04-16T00:00:00
lead_00273,rule_03,sdr_01,p2,rule_based,10.06,2026-04-16T00:00:00
lead_00274,rule_03,sdr_01,p2,rule_based,14.86,2026-04-16T00:00:00
lead_00275,rule_03,sdr_04,p2,rule_based,4.47,2026-04-16T00:00:00
lead_00276,rule_03,sdr_01,p3,rule_based,4.54,2026-04-16T00:00:00
lead_00277,rule_03,sdr_01,p1,rule_based,1.77,2026-04-16T00:00:00
lead_00278,rule_03,sdr_04,p2,rule_based,10.83,2026-04-16T00:00:00
lead_00279,rule_03,sdr_01,p3,rule_based,3.82,2026-04-17T00:00:00
lead_00280,rule_03,sdr_01,p2,rule_based,16.21,2026-04-17T00:00:00
lead_00281,rule_04,sdr_02,p2,rule_based,16.83,2026-04-17T00:00:00
lead_00282,rule_01,sdr_05,p1,rule_based,8.4,2026-04-17T00:00:00
lead_00283,rule_04,sdr_02,p4,rule_based,9.03,2026-04-17T00:00:00
lead_00284,rule_04,sdr_04,p2,rule_based,8.32,2026-04-17T00:00:00
lead_00285,rule_01,sdr_05,p1,rule_based,27.97,2026-04-17T00:00:00
lead_00286,rule_01,sdr_05,p4,rule_based,8.18,2026-04-17T00:00:00
lead_00287,rule_01,sdr_05,p1,rule_based,3.73,2026-04-17T00:00:00
lead_00288,rule_01,sdr_05,p4,rule_based,6.86,2026-04-17T00:00:00
lead_00289,rule_04,sdr_03,p4,rule_based,4.45,2026-04-17T00:00:00
lead_00290,rule_03,sdr_04,p3,rule_based,38.87,2026-04-17T00:00:00
lead_00291,rule_04,sdr_03,p4,rule_based,17.8,2026-04-17T00:00:00
lead_00292,rule_03,sdr_04,p4,rule_based,21.18,2026-04-17T00:00:00
lead_00293,rule_01,sdr_05,p4,rule_based,21.7,2026-04-17T00:00:00
lead_00294,rule_01,sdr_05,p3,rule_based,5.82,2026-04-17T00:00:00
lead_00295,rule_01,,p3,rule_based,,2026-04-17T00:00:00
lead_00296,rule_03,sdr_01,p1,rule_based,13.94,2026-04-17T00:00:00
lead_00297,rule_02,sdr_02,p2,rule_based,2.44,2026-04-17T00:00:00
lead_00298,rule_01,sdr_05,p3,rule_based,3.45,2026-04-17T00:00:00
lead_00299,rule_04,sdr_03,p3,rule_based,19.6,2026-04-17T00:00:00
lead_00300,rule_02,sdr_02,p2,rule_based,18.23,2026-04-17T00:00:00
lead_00301,rule_03,sdr_01,p1,rule_based,5.59,2026-04-18T00:00:00
lead_00302,rule_03,sdr_04,p3,rule_based,10.86,2026-04-18T00:00:00
lead_00303,rule_03,sdr_04,p4,rule_based,19.26,2026-04-18T00:00:00
lead_00304,rule_04,sdr_03,p3,rule_based,11.09,2026-04-18T00:00:00
lead_00305,rule_03,sdr_01,p1,rule_based,4.3,2026-04-18T00:00:00
lead_00306,rule_01,sdr_05,p1,rule_based,5.24,2026-04-18T00:00:00
lead_00307,rule_03,sdr_01,p2,rule_based,1.56,2026-04-18T00:00:00
lead_00308,rule_03,sdr_04,p3,rule_based,16.75,2026-04-18T00:00:00
lead_00309,rule_03,sdr_01,p3,rule_based,3.67,2026-04-18T00:00:00
lead_00310,rule_03,sdr_01,p3,rule_based,1.67,2026-04-18T00:00:00
lead_00311,rule_02,sdr_02,p3,rule_based,25.29,2026-04-18T00:00:00
lead_00312,rule_03,sdr_01,p2,rule_based,2.71,2026-04-18T00:00:00
lead_00313,rule_03,sdr_01,p3,rule_based,20.27,2026-04-18T00:00:00
lead_00314,rule_03,sdr_01,p2,rule_based,29.82,2026-04-18T00:00:00
lead_00315,rule_02,sdr_02,p4,rule_based,11.76,2026-04-18T00:00:00
lead_00316,rule_03,sdr_04,p2,rule_based,4.25,2026-04-18T00:00:00
lead_00317,rule_04,sdr_04,p3,rule_based,13.01,2026-04-18T00:00:00
lead_00318,rule_04,sdr_03,p2,rule_based,10.35,2026-04-18T00:00:00
lead_00319,rule_03,sdr_04,p3,rule_based,16.77,2026-04-18T00:00:00
lead_00320,rule_01,sdr_05,p2,rule_based,10.79,2026-04-18T00:00:00
lead_00321,rule_01,sdr_05,p3,rule_based,6.76,2026-04-18T00:00:00
lead_00322,rule_01,sdr_05,p2,rule_based,3.68,2026-04-19T00:00:00
lead_00323,rule_03,sdr_01,p3,rule_based,31.02,2026-04-19T00:00:00
lead_00324,rule_01,sdr_05,p3,rule_based,17.54,2026-04-19T00:00:00
lead_00325,rule_03,sdr_01,p3,rule_based,9.27,2026-04-19T00:00:00
lead_00326,rule_03,sdr_01,p1,rule_based,11.17,2026-04-19T00:00:00
lead_00327,rule_04,sdr_03,p3,rule_based,12.47,2026-04-19T00:00:00
lead_00328,rule_01,sdr_05,p4,rule_based,39.71,2026-04-19T00:00:00
lead_00329,rule_03,sdr_04,p1,rule_based,15.01,2026-04-19T00:00:00
lead_00330,rule_03,sdr_01,p3,rule_based,7.58,2026-04-19T00:00:00
lead_00331,rule_03,sdr_01,p3,rule_based,6.94,2026-04-19T00:00:00
lead_00332,rule_01,sdr_05,p2,rule_based,23.32,2026-04-19T00:00:00
