lead_id,account_id,created_date,channel,campaign_id,segment,potential_arr,lead_status,priority_tier
lead_00031,acct_00031,2026-04-06,paid_search,camp_08,mid_market,15658.04,new,p3
lead_00032,acct_00032,2026-04-06,paid_search,camp_01,mid_market,39072.01,new,p4
lead_00033,acct_00033,2026-04-06,paid_search,camp_08,smb,10360.89,new,p2
lead_00034,acct_00034,2026-04-06,organic,camp_07,mid_market,25911.8,new,p4
lead_00035,acct_00035,2026-04-06,outbound,camp_04,smb,59825.79,new,p1
lead_00036,acct_00036,2026-04-06,paid_search,camp_08,smb,32004.11,new,p3
lead_00037,acct_00037,2026-04-06,paid_search,camp_01,smb,29011.96,new,p4
lead_00038,acct_00038,2026-04-06,organic,camp_07,smb,33264.97,new,p3
lead_00039,acct_00039,2026-04-06,outbound,camp_04,enterprise,60179.57,new,p3
lead_00040,acct_00040,2026-04-06,paid_search,camp_01,mid_market,37464.41,new,p4
lead_00041,acct_00041,2026-04-06,paid_search,camp_02,smb,35305.54,new,p3
lead_00042,acct_00042,2026-04-06,partner,camp_05,mid_market,70047.83,new,p1
lead_00043,acct_00043,2026-04-06,partner,camp_05,mid_market,96901.88,new,p1
lead_00044,acct_00044,2026-04-06,outbound,camp_04,smb,66082.31,new,p3
lead_00045,acct_00045,2026-04-06,webinar,camp_06,mid_market,54794.84,new,p2
lead_00046,acct_00046,2026-04-06,paid_search,camp_01,mid_market,42590.08,new,p4
lead_00047,acct_00047,2026-04-06,paid_search,camp_08,smb,8000.0,new,p3
lead_00048,acct_00048,2026-04-06,paid_search,camp_08,mid_market,52636.31,new,p3
lead_00049,acct_00049,2026-04-06,partner,camp_05,enterprise,93191.8,new,p3
lead_00050,acct_00050,2026-04-06,referral,camp_03,smb,78996.84,new,p3
lead_00051,acct_00051,2026-04-06,partner,camp_05,enterprise,89205.67,new,p2
lead_00052,acct_00052,2026-04-07,paid_search,camp_02,smb,19470.35,new,p4
lead_00053,acct_00053,2026-04-07,referral,camp_03,enterprise,19418.14,new,p3
lead_00054,acct_00054,2026-04-07,paid_search,camp_08,smb,46125.8,new,p2
lead_00055,acct_00055,2026-04-07,paid_search,camp_08,mid_market,51381.01,new,p3
lead_00056,acct_00056,2026-04-07,paid_search,camp_01,mid_market,8000.0,new,p2
lead_00057,acct_00057,2026-04-07,organic,camp_07,mid_market,45755.52,new,p1
lead_00058,acct_00058,2026-04-07,paid_search,camp_02,smb,35555.7,new,p3
lead_00059,acct_00059,2026-04-07,paid_search,camp_02,smb,39640.44,new,p4
lead_00060,acct_00060,2026-04-07,organic,camp_07,smb,54702.03,new,p3
lead_00061,acct_00061,2026-04-07,outbound,camp_04,enterprise,71210.0,new,p2
lead_00062,acct_00062,2026-04-07,partner,camp_05,mid_market,90248.86,new,p3
lead_00063,acct_00063,2026-04-07,organic,camp_07,mid_market,31999.36,new,p3
lead_00064,acct_00064,2026-04-07,outbound,camp_04,smb,71907.88,new,p3
lead_00065,acct_00065,2026-04-07,organic,camp_07,mid_market,40893.35,new,p1
lead_00066,acct_00066,2026-04-07,partner,camp_05,enterprise,99453.99,new,p1
lead_00067,acct_00067,2026-04-07,outbound,camp_04,smb,71535.17,new,p2
lead_00068,acct_00068,2026-04-07,organic,camp_07,smb,40959.07,new,p3
lead_00069,acct_00069,2026-04-07,partner,camp_05,enterprise,79217.08,new,p2
lead_00070,acct_00070,2026-04-07,partner,camp_05,enterprise,87450.19,new,p3
lead_00071,acct_00071,2026-04-07,paid_search,camp_08,smb,24537.31,new,p2
lead_00072,acct_00072,2026-04-07,outbound,camp_04,smb,54366.74,new,p2
lead_00073,acct_00073,2026-04-07,outbound,camp_04,smb,23816.34,new,p3
lead_00074,acct_00074,2026-04-07,partner,camp_05,mid_market,93457.99,new,p3
lead_00075,acct_00075,2026-04-08,organic,camp_07,mid_market,45432.3,new,p3
lead_00076,acct_00076,2026-04-08,partner,camp_05,enterprise,87727.75,new,p1
lead_00077,acct_00077,2026-04-08,paid_search,camp_08,smb,30247.51,new,p4
lead_00078,acct_00078,2026-04-08,paid_search,camp_08,smb,45417.18,new,p4
lead_00079,acct_00079,2026-04-08,outbound,camp_04,mid_market,31185.74,new,p3
lead_00080,acct_00080,2026-04-08,paid_search,camp_02,mid_market,46238.07,new,p1
lead_00081,acct_00081,2026-04-08,organic,camp_07,mid_market,39375.08,new,p2
lead_00082,acct_00082,2026-04-08,paid_search,camp_02,enterprise,64940.05,new,p2
lead_00083,acct_00083,2026-04-08,paid_search,camp_02,mid_market,51684.62,new,p3
lead_00084,acct_00084,2026-04-08,organic,camp_07,mid_market,59848.76,new,p3
lead_00085,acct_00085,2026-04-08,paid_search,camp_01,enterprise,30846.01,new,p3
lead_00086,acct_00086,2026-04-08,referral,camp_03,mid_market,89996.87,new,p2
lead_00087,acct_00087,2026-04-08,outbound,camp_04,smb,31959.02,new,p3
lead_00088,acct_00088,2026-04-08,paid_search,camp_02,mid_market,35928.15,new,p1
lead_00089,acct_00089,2026-04-08,webinar,camp_06,mid_market,48971.65,new,p2
lead_00090,acct_00090,2026-04-08,partner,camp_05,mid_market,92193.13,new,p2
lead_00091,acct_00091,2026-04-08,paid_search,camp_02,mid_market,40531.42,new,p1
lead_00092,acct_00092,2026-04-08,paid_search,camp_01,mid_market,46902.66,new,p3
lead_00093,acct_00093,2026-04-08,paid_search,camp_01,smb,48978.66,new,p4
lead_00094,acct_00094,2026-04-08,organic,camp_07,enterprise,38376.14,new,p3
lead_00095,acct_00095,2026-04-08,partner,camp_05,enterprise,48468.01,new,p3
lead_00096,acct_00096,2026-04-08,referral,camp_03,smb,81033.39,new,p1
lead_00097,acct_00097,2026-04-09,outbound,camp_04,smb,64629.95,new,p2
lead_00098,acct_00098,2026-04-09,organic,camp_07,mid_market,40682.86,new,p3
lead_00099,acct_00099,2026-04-09,paid_search,camp_08,smb,68301.22,new,p4
lead_00100,acct_00100,2026-04-09,referral,camp_03,smb,70877.3,new,p1
lead_00101,acct_00101,2026-04-09,paid_search,camp_01,smb,8000.0,new,p3
lead_00102,acct_00102,2026-04-09,paid_search,camp_01,enterprise,74356.7,new,p4
lead_00103,acct_00103,2026-04-09,outbound,camp_04,smb,88877.6,new,p4
lead_00104,acct_00104,2026-04-09,paid_search,camp_08,smb,64493.97,new,p2
lead_00105,acct_00105,2026-04-09,paid_search,camp_01,smb,31988.54,new,p2
lead_00106,acct_00106,2026-04-09,paid_search,camp_08,smb,42216.96,new,p3
lead_00107,acct_00107,2026-04-09,webinar,camp_06,mid_market,54564.87,new,p3
lead_00108,acct_00108,2026-04-09,paid_search,camp_02,enterprise,22516.31,new,p4
lead_00109,acct_00109,2026-04-09,webinar,camp_06,smb,53791.68,new,p3
lead_00110,acct_00110,2026-04-09,outbound,camp_04,smb,58202.89,new,p3
lead_00111,acct_00111,2026-04-09,outbound,camp_04,mid_market,55910.16,new,p4
lead_00112,acct_00112,2026-04-09,paid_search,camp_08,smb,34764.13,new,p3
lead_00113,acct_00113,2026-04-09,organic,camp_07,smb,8900.22,new,p3
lead_00114,acct_00114,2026-04-09,outbound,camp_04,mid_market,59126.81,new,p3
lead_00115,acct_00115,2026-04-09,outbound,camp_04,enterprise,77694.74,new,p2
lead_00116,acct_00116,2026-04-09,referral,camp_03,smb,63359.04,new,p2
lead_00117,acct_00117,2026-04-09,outbound,camp_04,smb,43184.5,new,p3
lead_00118,acct_00118,2026-04-10,paid_search,camp_02,enterprise,40948.6,new,p3
lead_00119,acct_00119,2026-04-10,outbound,camp_04,smb,51161.43,new,p3
lead_00120,acct_00120,2026-04-10,webinar,camp_06,mid_market,55778.25,new,p2
lead_00121,acct_00121,2026-04-10,paid_search,camp_08,enterprise,20904.51,new,p4
lead_00122,acct_00122,2026-04-10,referral,camp_03,mid_market,46005.34,new,p4
lead_00123,acct_00123,2026-04-10,referral,camp_03,smb,45478.28,new,p3
lead_00124,acct_00124,2026-04-10,webinar,camp_06,mid_market,44800.27,new,p1
lead_00125,acct_00125,2026-04-10,outbound,camp_04,smb,59146.6,new,p2
lead_00126,acct_00126,2026-04-10,organic,camp_07,enterprise,71541.72,new,p2
lead_00127,acct_00127,2026-04-10,referral,camp_03,enterprise,94879.15,new,p1
lead_00128,acct_00128,2026-04-10,outbound,camp_04,smb,72975.54,new,p3
lead_00129,acct_00129,2026-04-10,paid_search,camp_02,smb,57587.44,new,p4
lead_00130,acct_00130,2026-04-10,webinar,camp_06,smb,62045.14,new,p2
lead_00131,acct_00131,2026-04-10,partner,camp_05,mid_market,76182.16,new,p3
lead_00132,acct_00132,2026-04-10,partner,camp_05,enterprise,70957.81,new,p1
lead_00133,acct_00133,2026-04-10,outbound,camp_04,smb,52623.01,new,p4
lead_00134,acct_00134,2026-04-10,referral,camp_03,enterprise,80884.23,new,p1
lead_00135,acct_00135,2026-04-10,referral,camp_03,enterprise,74240.5,new,p1
lead_00136,acct_00136,2026-04-10,referral,camp_03,enterprise,76670.0,new,p1
lead_00137,acct_00137,2026-04-10,outbound,camp_04,smb,54181.2,new,p2
lead_00138,acct_00138,2026-04-10,paid_search,camp_08,smb,42053.88,new,p3
lead_00139,acct_00139,2026-04-11,referral,camp_03,mid_market,42621.19,new,p3
lead_00140,acct_00140,2026-04-11,outbound,camp_04,smb,59376.91,new,p3
lead_00141,acct_00141,2026-04-11,paid_search,camp_01,mid_market,60819.58,new,p2
lead_00142,acct_00142,2026-04-11,outbound,camp_04,smb,69750.45,new,p4
lead_00143,acct_00143,2026-04-11,outbound,camp_04,smb,53834.67,new,p3
lead_00144,acct_00144,2026-04-11,outbound,camp_04,enterprise,29648.4,new,p1
lead_00145,acct_00145,2026-04-11,paid_search,camp_08,smb,49401.09,new,p1
lead_00146,acct_00146,2026-04-11,webinar,camp_06,smb,44401.39,new,p2
lead_00147,acct_00147,2026-04-11,paid_search,camp_08,enterprise,21936.89,new,p1
lead_00148,acct_00148,2026-04-11,paid_search,camp_01,smb,31441.47,new,p4
lead_00149,acct_00149,2026-04-11,organic,camp_07,mid_market,39650.0,new,p2
lead_00150,acct_00150,2026-04-11,paid_search,camp_01,smb,56308.78,new,p3
lead_00151,acct_00151,2026-04-11,paid_search,camp_08,mid_market,59525.94,new,p2
lead_00152,acct_00152,2026-04-11,partner,camp_05,enterprise,64595.35,new,p1
lead_00153,acct_00153,2026-04-11,paid_search,camp_02,mid_market,37672.13,new,p4
lead_00154,acct_00154,2026-04-11,paid_search,camp_02,smb,50105.71,new,p3
lead_00155,acct_00155,2026-04-11,paid_search,camp_01,smb,40227.97,new,p3
lead_00156,acct_00156,2026-04-11,referral,camp_03,mid_market,58031.12,new,p2
lead_00157,acct_00157,2026-04-11,paid_search,camp_01,mid_market,8000.0,new,p1
lead_00158,acct_00158,2026-04-11,outbound,camp_04,smb,70342.79,new,p3
lead_00159,acct_00159,2026-04-11,paid_search,camp_08,smb,43991.04,new,p2
lead_00160,acct_00160,2026-04-12,paid_search,camp_02,mid_market,34588.51,new,p4
lead_00161,acct_00161,2026-04-12,paid_search,camp_08,smb,13196.29,new,p4
lead_00162,acct_00162,2026-04-12,paid_search,camp_08,mid_market,27596.19,new,p3
lead_00163,acct_00163,2026-04-12,paid_search,camp_02,enterprise,39462.22,new,p4
lead_00164,acct_00164,2026-04-12,outbound,camp_04,smb,29896.0,new,p3
lead_00165,acct_00165,2026-04-12,paid_search,camp_02,smb,40156.86,new,p3
lead_00166,acct_00166,2026-04-12,paid_search,camp_08,smb,57961.66,new,p3
lead_00167,acct_00167,2026-04-12,paid_search,camp_01,smb,8000.0,new,p3
lead_00168,acct_00168,2026-04-12,organic,camp_07,mid_market,30783.85,new,p3
lead_00169,acct_00169,2026-04-12,referral,camp_03,mid_market,40790.17,new,p2
lead_00170,acct_00170,2026-04-12,paid_search,camp_08,smb,42478.54,new,p3
lead_00171,acct_00171,2026-04-12,partner,camp_05,enterprise,107807.71,new,p2
lead_00172,acct_00172,2026-04-12,outbound,camp_04,smb,79302.27,new,p3
lead_00173,acct_00173,2026-04-12,outbound,camp_04,smb,83313.66,new,p3
lead_00174,acct_00174,2026-04-12,webinar,camp_06,smb,53921.02,new,p3
lead_00175,acct_00175,2026-04-12,paid_search,camp_01,mid_market,35251.0,new,p2
lead_00176,acct_00176,2026-04-12,outbound,camp_04,smb,48075.48,new,p3
lead_00177,acct_00177,2026-04-12,paid_search,camp_02,smb,18124.87,new,p2
lead_00178,acct_00178,2026-04-12,referral,camp_03,smb,22674.44,new,p3
lead_00179,acct_00179,2026-04-12,paid_search,camp_01,enterprise,42962.67,new,p1
lead_00180,acct_00180,2026-04-12,paid_search,camp_01,mid_market,64192.23,new,p2
lead_00181,acct_00181,2026-04-12,paid_search,camp_01,mid_market,52178.29,new,p1
lead_00182,acct_00182,2026-04-12,referral,camp_03,smb,50906.43,new,p1
lead_00183,acct_00183,2026-04-13,paid_search,camp_02,smb,57777.78,new,p3
lead_00184,acct_00184,2026-04-13,paid_search,camp_08,smb,38151.52,new,p2
lead_00185,acct_00185,2026-04-13,paid_search,camp_08,mid_market,47883.18,new,p1
lead_00186,acct_00186,2026-04-13,referral,camp_03,smb,67347.29,new,p2
lead_00187,acct_00187,2026-04-13,referral,camp_03,enterprise,54199.48,new,p2
lead_00188,acct_00188,2026-04-13,partner,camp_05,mid_market,111421.43,new,p2
lead_00189,acct_00189,2026-04-13,outbound,camp_04,enterprise,58561.62,new,p4
lead_00190,acct_00190,2026-04-13,paid_search,camp_08,enterprise,36286.11,new,p3
lead_00191,acct_00191,2026-04-13,paid_search,camp_08,smb,25515.18,new,p2
lead_00192,acct_00192,2026-04-13,referral,camp_03,smb,71847.74,new,p2
lead_00193,acct_00193,2026-04-13,partner,camp_05,mid_market,78548.27,new,p2
lead_00194,acct_00194,2026-04-13,outbound,camp_04,mid_market,92135.17,new,p3
lead_00195,acct_00195,2026-04-13,paid_search,camp_08,smb,59480.5,new,p3
lead_00196,acct_00196,2026-04-13,paid_search,camp_08,smb,25594.01,new,p2
lead_00197,acct_00197,2026-04-13,webinar,camp_06,smb,40372.52,new,p2
lead_00198,acct_00198,2026-04-13,paid_search,camp_01,smb,62175.13,new,p2
lead_00199,acct_00199,2026-04-13,paid_search,camp_01,smb,83864.04,new,p3
lead_00200,acct_00200,2026-04-13,partner,camp_05,enterprise,115409.26,new,p4
lead_00201,acct_00201,2026-04-13,organic,camp_07,smb,33957.0,new,p3
lead_00202,acct_00202,2026-04-13,partner,camp_05,enterprise,57182.8,new,p2
lead_00203,acct_00203,2026-04-13,referral,camp_03,mid_market,98727.98,new,p1
lead_00204,acct_00204,2026-04-14,paid_search,camp_08,mid_market,30906.72,new,p3
lead_00205,acct_00205,2026-04-14,paid_search,camp_02,smb,21298.46,new,p3
lead_00206,acct_00206,2026-04-14,organic,camp_07,smb,43188.79,new,p1
lead_00207,acct_00207,2026-04-14,paid_search,camp_02,smb,51866.31,new,p3
lead_00208,acct_00208,2026-04-14,partner,camp_05,enterprise,54178.45,new,p2
lead_00209,acct_00209,2026-04-14,webinar,camp_06,enterprise,77573.36,new,p2
lead_00210,acct_00210,2026-04-14,paid_search,camp_02,smb,21033.09,new,p2
lead_00211,acct_00211,2026-04-14,webinar,camp_06,enterprise,51303.8,new,p1
lead_00212,acct_00212,2026-04-14,outbound,camp_04,mid_market,37541.68,new,p3
lead_00213,acct_00213,2026-04-14,outbound,camp_04,smb,27233.56,new,p3
lead_00214,acct_00214,2026-04-14,webinar,camp_06,mid_market,58518.64,new,p3
lead_00215,acct_00215,2026-04-14,outbound,camp_04,smb,65134.88,new,p2
lead_00216,acct_00216,2026-04-14,outbound,camp_04,mid_market,29276.99,new,p3
lead_00217,acct_00217,2026-04-14,paid_search,camp_01,smb,51903.64,new,p2
lead_00218,acct_00218,2026-04-14,paid_search,camp_01,smb,33800.5,new,p3
lead_00219,acct_00219,2026-04-14,paid_search,camp_01,mid_market,47775.29,new,p3
lead_00220,acct_00220,2026-04-14,outbound,camp_04,mid_market,26408.25,new,p4
lead_00221,acct_00221,2026-04-14,partner,camp_05,enterprise,84457.27,new,p2
lead_00222,acct_00222,2026-04-14,paid_search,camp_02,smb,47832.23,new,p2
lead_00223,acct_00223,2026-04-14,paid_search,camp_08,mid_market,62376.94,new,p3
lead_00224,acct_00224,2026-04-14,referral,camp_03,enterprise,63626.89,new,p1
lead_00225,acct_00225,2026-04-14,referral,camp_03,mid_market,57331.93,new,p1
lead_00226,acct_00226,2026-04-14,paid_search,camp_01,smb,42962.24,new,p3
lead_00227,acct_00227,2026-04-14,webinar,camp_06,mid_market,65653.35,new,p1
lead_00228,acct_00228,2026-04-15,referral,camp_03,enterprise,59392.23,new,p3
lead_00229,acct_00229,2026-04-15,paid_search,camp_01,mid_market,48561.45,new,p2
lead_00230,acct_00230,2026-04-15,referral,camp_03,mid_market,49488.94,new,p1
lead_00231,acct_00231,2026-04-15,outbound,camp_04,smb,23694.49,new,p3
lead_00232,acct_00232,2026-04-15,outbound,camp_04,smb,94742.92,new,p2
lead_00233,acct_00233,2026-04-15,outbound,camp_04,mid_market,56262.87,new,p3
lead_00234,acct_00234,2026-04-15,organic,camp_07,smb,8000.0,new,p2
lead_00235,acct_00235,2026-04-15,referral,camp_03,enterprise,71913.24,new,p2
lead_00236,acct_00236,2026-04-15,organic,camp_07,smb,48756.87,new,p3
lead_00237,acct_00237,2026-04-15,referral,camp_03,mid_market,57141.25,new,p1
lead_00238,acct_00238,2026-04-15,paid_search,camp_08,smb,44004.31,new,p2
lead_00239,acct_00239,2026-04-15,partner,camp_05,enterprise,94648.74,new,p1
lead_00240,acct_00240,2026-04-15,outbound,camp_04,enterprise,71785.45,new,p4
lead_00241,acct_00241,2026-04-15,referral,camp_03,mid_market,47003.09,new,p1
lead_00242,acct_00242,2026-04-15,paid_search,camp_02,smb,25480.44,new,p4
lead_00243,acct_00243,2026-04-15,referral,camp_03,mid_market,91709.65,new,p2
lead_00244,acct_00244,2026-04-15,referral,camp_03,mid_market,75565.51,new,p3
lead_00245,acct_00245,2026-04-15,paid_search,camp_01,mid_market,13343.77,new,p3
lead_00246,acct_00246,2026-04-15,paid_search,camp_02,smb,8661.09,new,p4
lead_00247,acct_00247,2026-04-15,outbound,camp_04,enterprise,59964.18,new,p1
lead_00248,acct_00248,2026-04-15,outbound,camp_04,smb,52714.48,new,p3
lead_00249,acct_00249,2026-04-15,referral,camp_03,smb,52681.71,new,p2
lead_00250,acct_00250,2026-04-15,outbound,camp_04,mid_market,73991.12,new,p4
lead_00251,acct_00251,2026-04-15,outbound,camp_04,smb,47923.82,new,p2
lead_00252,acct_00252,2026-04-15,referral,camp_03,mid_market,64952.53,new,p3
lead_00253,acct_00253,2026-04-15,referral,camp_03,smb,34047.28,new,p2
lead_00254,acct_00254,2026-04-15,referral,camp_03,mid_market,49452.23,new,p2
lead_00255,acct_00255,2026-04-15,paid_search,camp_01,smb,60787.38,new,p3
lead_00256,acct_00256,2026-04-16,outbound,camp_04,enterprise,67694.82,new,p4
lead_00257,acct_00257,2026-04-16,organic,camp_07,enterprise,79560.46,new,p1
lead_00258,acct_00258,2026-04-16,webinar,camp_06,smb,19857.93,new,p3
lead_00259,acct_00259,2026-04-16,partner,camp_05,enterprise,68535.39,new,p2
lead_00260,acct_00260,2026-04-16,organic,camp_07,smb,27636.75,new,p3
lead_00261,acct_00261,2026-04-16,paid_search,camp_08,smb,42582.66,new,p3
lead_00262,acct_00262,2026-04-16,outbound,camp_04,enterprise,8000.0,new,p1
lead_00263,acct_00263,2026-04-16,referral,camp_03,mid_market,41312.73,new,p3
lead_00264,acct_00264,2026-04-16,organic,camp_07,mid_market,28689.96,new,p1
lead_00265,acct_00265,2026-04-16,webinar,camp_06,smb,31698.22,new,p3
lead_00266,acct_00266,2026-04-16,organic,camp_07,smb,48706.88,new,p2
lead_00267,acct_00267,2026-04-16,referral,camp_03,smb,45318.11,new,p2
lead_00268,acct_00268,2026-04-16,paid_search,camp_02,smb,23558.48,new,p3
lead_00269,acct_00269,2026-04-16,paid_search,camp_01,smb,37123.91,new,p4
lead_00270,acct_00270,2026-04-16,paid_search,camp_01,smb,56337.79,new,p4
lead_00271,acct_00271,2026-04-16,organic,camp_07,mid_market,12922.92,new,p4
lead_00272,acct_00272,2026-04-16,partner,camp_05,enterprise,74852.42,new,p3
lead_00273,acct_00273,2026-04-16,webinar,camp_06,smb,65815.82,new,p2
lead_00274,acct_00274,2026-04-16,referral,camp_03,smb,51445.21,new,p2
lead_00275,acct_00275,2026-04-16,referral,camp_03,mid_market,81208.21,new,p2
lead_00276,acct_00276,2026-04-16,webinar,camp_06,smb,67858.35,new,p3
lead_00277,acct_00277,2026-04-16,organic,camp_07,mid_market,55578.85,new,p1
lead_00278,acct_00278,2026-04-16,paid_search,camp_01,mid_market,52172.76,new,p2
lead_00279,acct_00279,2026-04-17,organic,camp_07,smb,29113.44,new,p3
lead_00280,acct_00280,2026-04-17,paid_search,camp_01,mid_market,24101.97,new,p2
lead_00281,acct_00281,2026-04-17,outbound,camp_04,smb,72861.09,new,p2
lead_00282,acct_00282,2026-04-17,partner,camp_05,enterprise,69327.89,new,p1
lead_00283,acct_00283,2026-04-17,outbound,camp_04,mid_market,69361.91,new,p4
lead_00284,acct_00284,2026-04-17,outbound,camp_04,smb,47291.89,new,p2
lead_00285,acct_00285,2026-04-17,partner,camp_05,mid_market,95967.06,new,p1
lead_00286,acct_00286,2026-04-17,paid_search,camp_08,enterprise,30671.8,new,p4
lead_00287,acct_00287,2026-04-17,referral,camp_03,enterprise,75124.4,new,p1
lead_00288,acct_00288,2026-04-17,paid_search,camp_01,enterprise,29151.25,new,p4
lead_00289,acct_00289,2026-04-17,outbound,camp_04,mid_market,55804.96,new,p4
lead_00290,acct_00290,2026-04-17,referral,camp_03,smb,62128.57,new,p3
lead_00291,acct_00291,2026-04-17,outbound,camp_04,smb,53218.08,new,p4
lead_00292,acct_00292,2026-04-17,paid_search,camp_02,mid_market,43764.03,new,p4
lead_00293,acct_00293,2026-04-17,paid_search,camp_08,enterprise,57233.47,new,p4
lead_00294,acct_00294,2026-04-17,paid_search,camp_08,enterprise,29049.33,new,p3
lead_00295,acct_00295,2026-04-17,partner,camp_05,enterprise,73758.61,new,p3
lead_00296,acct_00296,2026-04-17,organic,camp_07,smb,33610.5,new,p1
lead_00297,acct_00297,2026-04-17,paid_search,camp_01,smb,52889.88,new,p2
lead_00298,acct_00298,2026-04-17,referral,camp_03,enterprise,41603.5,new,p3
lead_00299,acct_00299,2026-04-17,outbound,camp_04,smb,62854.12,new,p3
lead_00300,acct_00300,2026-04-17,paid_search,camp_01,smb,42312.02,new,p2
lead_00301,acct_00301,2026-04-18,referral,camp_03,smb,57754.47,new,p1
lead_00302,acct_00302,2026-04-18,paid_search,camp_02,mid_market,52886.25,new,p3
lead_00303,acct_00303,2026-04-18,paid_search,camp_08,mid_market,56227.08,new,p4
lead_00304,acct_00304,2026-04-18,outbound,camp_04,mid_market,50234.68,new,p3
lead_00305,acct_00305,2026-04-18,webinar,camp_06,mid_market,36206.15,new,p1
lead_00306,acct_00306,2026-04-18,paid_search,camp_01,enterprise,22603.9,new,p1
lead_00307,acct_00307,2026-04-18,organic,camp_07,smb,30754.88,new,p2
lead_00308,acct_00308,2026-04-18,paid_search,camp_02,mid_market,30830.66,new,p3
lead_00309,acct_00309,2026-04-18,paid_search,camp_08,mid_market,54152.6,new,p3
lead_00310,acct_00310,2026-04-18,organic,camp_07,mid_market,56916.64,new,p3
lead_00311,acct_00311,2026-04-18,paid_search,camp_01,smb,52952.13,new,p3
lead_00312,acct_00312,2026-04-18,referral,camp_03,smb,77351.08,new,p2
lead_00313,acct_00313,2026-04-18,organic,camp_07,smb,69234.45,new,p3
lead_00314,acct_00314,2026-04-18,webinar,camp_06,smb,96993.75,new,p2
lead_00315,acct_00315,2026-04-18,paid_search,camp_02,smb,62969.0,new,p4
lead_00316,acct_00316,2026-04-18,referral,camp_03,smb,44979.63,new,p2
lead_00317,acct_00317,2026-04-18,outbound,camp_04,mid_market,75238.52,new,p3
lead_00318,acct_00318,2026-04-18,outbound,camp_04,mid_market,58593.99,new,p2
lead_00319,acct_00319,2026-04-18,paid_search,camp_08,mid_market,62524.56,new,p3
lead_00320,acct_00320,2026-04-18,paid_search,camp_02,enterprise,59994.13,new,p2
lead_00321,acct_00321,2026-04-18,partner,camp_05,mid_market,104021.46,new,p3
lead_00322,acct_00322,2026-04-19,paid_search,camp_02,enterprise,69036.53,new,p2
lead_00323,acct_00323,2026-04-19,referral,camp_03,mid_market,21644.04,new,p3
lead_00324,acct_00324,2026-04-19,outbound,camp_04,enterprise,45659.23,new,p3
lead_00325,acct_00325,2026-04-19,organic,camp_07,smb,61200.34,new,p3
lead_00326,acct_00326,2026-04-19,referral,camp_03,smb,70080.0,new,p1
lead_00327,acct_00327,2026-04-19,outbound,camp_04,mid_market,42693.74,new,p3
lead_00328,acct_00328,2026-04-19,partner,camp_05,mid_market,101707.46,new,p4
lead_00329,acct_00329,2026-04-19,paid_search,camp_02,mid_market,30404.25,new,p1
lead_00330,acct_00330,2026-04-19,paid_search,camp_08,mid_market,12345.07,new,p3
